"ucas","name","postcode","status","application","offer"
"10002","Ysgol David Hughes","LL59 5SS","Maintained","<3","<3"
"10008","Redborne Upper School and Community College","MK45 2NU","Maintained","7","<3"
"10011","Bedford Modern School","MK41 7NT","Independent","14","<3"
"10012","Bedford School","MK40 2TU","Independent","18","<3"
"10018","Stratton Upper School, Bedfordshire","SG18 8JB","Maintained","6","<3"
"10024","Cedars Upper School, Bedfordshire","LU7 2AE","Maintained","5","<3"
"10026","St Marylebone Church of England School","W1U 5BA","Maintained","18","5"
"10027","Luton VI Form College","LU2 7EW","Maintained","21","4"
"10029","Abingdon School","OX14 1DE","Independent","38","5"
"10030","John Mason School, Abingdon","OX14 1JB","Maintained","7","<3"
"10032","Radley College","OX14 2HR","Independent","10","<3"
"10033","St Helen & St Katharine","OX14 1BE","Independent","17","<3"
"10034","Heathfield School, Berkshire","SL5 8BQ","Independent","<3","<3"
"10039","St Marys School, Ascot","SL5 9JF","Independent","10","4"
"10041","Ranelagh School","RG12 9DA","Maintained","3","<3"
"10043","Ysgol Gyfun Bro Myrddin","SA32 8DN","Maintained","4","<3"
"10044","Edgbarrow School","RG45 7HZ","Maintained","8","3"
"10045","Wellington College, Crowthorne","RG45 7PU","Independent","28","9"
"10046","Didcot Sixth Form","OX11 7AJ","Maintained","5","<3"
"10048","Faringdon Community College","SN7 7LB","Maintained","3","<3"
"10051","Newlands Girls' School","SL6 5JB","Maintained","<3","<3"
"10053","Oxford Sixth Form College","OX1 4HT","Independent","4","<3"
"10054","Downe House School","RG18 9JJ","Independent","8","<3"
"10059","St Bartholomews School","RG14 6JP","Maintained","6","<3"
"10062","Abbey School, Reading","RG1 5DZ","Independent","4","<3"
"10066","Bradfield College","RG7 6AU","Independent","<3","<3"
"10067","The Bulmershe School","RG5 3EU","Maintained","<3","<3"
"10069","Highdown School and Sixth Form Centre","RG4 8LR","Maintained","<3","<3"
"10070","Kendrick School","RG1 5BN","Maintained","17","10"
"10071","Leighton Park School","RG2 7ED","Independent","<3","<3"
"10072","Maiden Erlegh School","RG6 7HS","Maintained","4","<3"
"10075","Pangbourne College, Reading","RG8 8LA","Independent","<3","<3"
"10077","Queen Anne's School","RG4 6DX","Independent","3","<3"
"10078","Reading Blue Coat School","RG4 6SU","Independent","8","<3"
"10080","Reading School","RG1 5LW","Maintained","31","13"
"10087","Wallingford School","OX10 8HH","Maintained","8","<3"
"10088","King Alfred's Academy","OX12 9BY","Maintained","<3","<3"
"10091","Windsor College","SL4 3AZ","Maintained","3","<3"
"10092","Eton College","SL4 6DW","Independent","68","16"
"10094","Windsor Girls School","SL4 3RT","Maintained","<3","<3"
"10095","Reddam House Berkshire","RG41 5BG","Independent","7","<3"
"10097","Holt School, Wokingham","RG41 1EE","Maintained","3","<3"
"10102","Christ College","LD3 8AF","Independent","4","<3"
"10107","Dr Challoner's Grammar School","HP6 5HA","Maintained","35","13"
"10108","Dr Challoner's High School for Girls","HP7 9QB","Maintained","10","<3"
"10110","Aylesbury High School","HP21 7SX","Maintained","17","7"
"10111","Sir Henry Floyd Grammar School, Aylesbury","HP21 8PE","Maintained","13","4"
"10112","Aylesbury Grammar School","HP21 7RP","Maintained","24","8"
"10115","Beaconsfield High School","HP9 1RR","Maintained","13","7"
"10122","Royal Latin School","MK18 1AX","Maintained","16","5"
"10123","Stowe School","MK18 5EH","Independent","11","<3"
"10124","Burnham Grammar School","SL1 7HG","Maintained","9","<3"
"10127","Chesham Grammar School","HP5 1BA","Maintained","14","4"
"10131","Pipers Corner School","HP15 6LP","Independent","<3","<3"
"10132","Royal Grammar School, Buckinghamshire","HP13 6QT","Maintained","33","11"
"10134","Wycombe Abbey School, High Wycombe","HP11 1PE","Independent","37","10"
"10135","Wycombe High School, High Wycombe","HP11 1TB","Maintained","10","4"
"10136","John Hampden Grammar School","HP11 1SZ","Maintained","5","3"
"10137","Sir William Borlase's Grammar School","SL7 2BR","Maintained","17","5"
"10139","Langley Grammar School","SL3 7QS","Maintained","5","<3"
"10140","LVS Ascot","SL5 8DR","Independent","<3","<3"
"10142","Upton Court Grammar School","SL3 7PR","Maintained","17","5"
"10144","Herschel Grammar School","SL1 3BW","Maintained","12","<3"
"10145","St Bernard's Catholic Grammar School","SL3 7AF","Maintained","7","<3"
"10149","The Radcliffe School","MK12 5BT","Maintained","<3","<3"
"10158","John Bright School, Llandudno","LL30 1LF","Maintained","3","<3"
"10161","Ysgol Brynrefail, Caernarfon","LL55 4AD","Maintained","<3","<3"
"10168","The Netherhall School and Oakes Sixth Form College","CB1 8NN","Maintained","<3","<3"
"10169","St Katherines School, Bristol","BS20 0HU","Maintained","<3","<3"
"10171","Long Road Sixth Form College","CB2 8PX","Maintained","4","<3"
"10172","Hills Road Sixth Form College","CB2 8PE","Maintained","154","31"
"10174","The Leys School","CB2 7AD","Independent","12","6"
"10175","The Perse School","CB2 8QF","Independent","75","26"
"10176","St Mary's School, Cambridge","CB2 1LY","Independent","4","<3"
"10178","The King's School, Ely","CB7 4DB","Independent","7","3"
"10179","Stowupland High School","IP14 4BQ","Maintained","<3","<3"
"10180","Impington Village College","CB24 9LX","Maintained","6","3"
"10182","Neale-Wade Academy","PE15 9PX","Maintained","<3","<3"
"10185","Wisbech Grammar School","PE13 1JX","Independent","<3","<3"
"10187","Ysgol Gyfun Aberaeron","SA46 0DT","Maintained","<3","<3"
"10189","Penglais School","SY23 3AW","Maintained","10","3"
"10190","Ysgol Bro Pedr","SA48 7BX","Maintained","<3","<3"
"10199","Queen Elizabeth High School, Carmarthen","SA31 3NL","Maintained","4","<3"
"10209","St Michaels School, Llanelli","SA14 9TU","Independent","3","<3"
"10210","Ysgol Dyffryn Taf","SA34 0BD","Maintained","<3","<3"
"10213","Altrincham Grammar School for Boys","WA14 2RS","Maintained","26","9"
"10214","Altrincham Grammar School for Girls","WA14 2NL","Maintained","27","4"
"10216","Loreto Grammar School, Altrincham","WA14 4AH","Maintained","3","<3"
"10219","St Ambrose College","WA15 0HE","Maintained","5","<3"
"10221","Wirral Grammar School for Boys","CH63 3AQ","Maintained","5","<3"
"10222","Wirral Grammar School for Girls","CH63 3AF","Maintained","6","<3"
"10225","Birkenhead School, Birkenhead, Merseyside","CH43 2JD","Independent","6","<3"
"10232","St Marys Music School, Edinburgh","EH12 5EL","Independent","<3","<3"
"10234","St Anselms College, Birkenhead","CH43 1UQ","Maintained","5","<3"
"10239","Cheadle Hulme School","SK8 6EF","Independent","9","<3"
"10240","Bede's School, Hailsham","BN27 3QH","Independent","5","<3"
"10241","Queen's Park High School","CH4 7AE","Maintained","<3","<3"
"10243","The King's School, Chester","CH4 7QL","Independent","17","<3"
"10244","The Queen's School, Chester","CH1 2NN","Independent","5","<3"
"10253","Helsby High School","WA6 0HY","Maintained","<3","<3"
"10256","Knutsford Academy","WA16 0EA","Maintained","<3","<3"
"10257","Lymm High School","WA13 0RB","Maintained","6","<3"
"10258","The King's School, Macclesfield","SK10 4SP","Independent","6","<3"
"10263","Malbank School and Sixth Form","CW5 5HD","Maintained","<3","<3"
"10268","Sir John Deanes College","CW9 8AF","Maintained","29","4"
"10269","St John Plessington Catholic College","CH63 7LF","Maintained","<3","<3"
"10272","Gryffe High School","PA6 7EB","Maintained","<3","<3"
"10274","Sale Grammar School","M33 3NH","Maintained","6","<3"
"10275","Sandbach School","CW11 3NS","Maintained","3","<3"
"10277","Aquinas College","SK2 6TH","Maintained","22","4"
"10285","Stockport Grammar School","SK2 7AF","Independent","14","<3"
"10291","Abbey Gate College","CH3 6EN","Independent","3","<3"
"10292","Weatherhead High School","CH44 3HS","Maintained","<3","<3"
"10294","The Mosslands School","CH45 8PJ","Maintained","<3","<3"
"10296","West Kirby Grammar School","CH48 5DP","Maintained","12","3"
"10297","Wilmslow High School","SK9 1LZ","Maintained","7","<3"
"10301","Calday Grange Grammar School","CH48 8GG","Maintained","5","<3"
"10303","Upton Hall School","CH49 6LJ","Maintained","<3","<3"
"10305","The Whitby High School","CH66 2NU","Maintained","5","<3"
"10307","Bodmin College","PL31 1DD","Maintained","<3","<3"
"10308","Budehaven Community School","EX23 8DQ","Maintained","3","<3"
"10309","Callington Community College","PL17 7DR","Maintained","<3","<3"
"10310","Camborne Science and International Academy","TR14 7PP","Maintained","<3","<3"
"10312","Falmouth School","TR11 4LH","Maintained","<3","<3"
"10315","Helston Community College, Cornwall","TR13 8NR","Maintained","<3","<3"
"10316","Launceston College","PL15 9JR","Maintained","<3","<3"
"10331","Truro and Penwith College","TR1 3XX","Maintained","35","7"
"10332","Truro High School for Girls","TR1 2HU","Independent","4","<3"
"10333","Truro School","TR1 1TH","Independent","9","<3"
"10336","William Howard School","CA8 1AR","Maintained","4","<3"
"10337","Austin Friars","CA3 9PB","Independent","3","<3"
"10344","Trinity School, Carlisle","CA1 1JB","Maintained","<3","<3"
"10345","Ashbourne College","W8 4PL","Independent","15","<3"
"10346","Cockermouth School, Cockermouth","CA13 9HF","Maintained","3","<3"
"10348","Keswick School","CA12 5QB","Maintained","4","<3"
"10351","Queen Elizabeth Grammar School, Penrith","CA11 7EG","Maintained","<3","<3"
"10356","The Nelson Thomlinson School","CA7 9PX","Maintained","<3","<3"
"10362","Eirias High School","LL29 7SP","Maintained","3","<3"
"10364","Rydal Penrhos School","LL29 7BT","Independent","<3","<3"
"10367","Denbigh High School","LL16 3EX","Maintained","<3","<3"
"10370","Ysgol Dinas Bran, Llangollen","LL20 8TG","Maintained","<3","<3"
"10371","Ysgol Dyffryn Conwy","LL26 0SD","Maintained","<3","<3"
"10373","Ysgol Brynhyfryd","LL15 1EG","Maintained","<3","<3"
"10374","Ruthin School","LL15 1EE","Independent","23","9"
"10380","Maelor School, Wrexham","LL13 0LU","Maintained","<3","<3"
"10385","Queen Elizabeths Grammar School, Ashbourne","DE6 1EP","Maintained","<3","<3"
"10386","Lady Manners School","DE45 1JA","Maintained","5","<3"
"10387","Belper School, Belper","DE56 0DA","Maintained","<3","<3"
"10391","Buxton Community School","SK17 9EA","Maintained","<3","<3"
"10394","Brookfield Community School, Chesterfield","S40 3NS","Maintained","5","<3"
"10398","Tupton Hall School","S42 6LG","Maintained","<3","<3"
"10411","Ecclesbourne School","DE56 4GS","Maintained","7","<3"
"10412","John Port Spencer Academy","DE65 6LU","Maintained","3","<3"
"10417","Derby High School","DE23 3DT","Independent","<3","<3"
"10419","Highfields School, Matlock","DE4 5NA","Maintained","3","<3"
"10424","Repton School","DE65 6FH","Independent","9","<3"
"10429","Anthony Gell School","DE4 4DX","Maintained","<3","<3"
"10432","West Buckland School","EX32 0SX","Independent","5","<3"
"10434","Bideford College","EX39 3AR","Maintained","<3","<3"
"10438","Churston Ferrers Grammar School","TQ5 0LN","Maintained","<3","<3"
"10439","Colyton Grammar School","EX24 6HN","Maintained","18","6"
"10440","Queen Elizabeth's","EX17 3LU","Maintained","5","<3"
"10443","Exeter School","EX2 4NS","Independent","16","7"
"10444","Exeter College, Hele Road Centre","EX4 4JS","Maintained","24","5"
"10450","Maynard School","EX1 1SJ","Independent","6","3"
"10453","Exmouth Community College","EX8 3AF","Maintained","4","<3"
"10455","Kingsbridge Academy","TQ7 1PL","Maintained","3","<3"
"10458","Stover School","TQ12 6QG","Independent","<3","<3"
"10459","Okehampton College","EX20 1PW","Maintained","<3","<3"
"10460","The King's School, Ottery St Mary","EX11 1RA","Maintained","<3","<3"
"10463","Devonport High School for Boys","PL1 5QP","Maintained","16","6"
"10464","Devonport High School for Girls","PL2 3DL","Maintained","7","3"
"10467","Plymouth College","PL4 6RN","Independent","<3","<3"
"10468","Plymouth High School for Girls","PL4 6HT","Maintained","3","<3"
"10471","Plymstock School, Plymouth","PL9 9AZ","Maintained","<3","<3"
"10482","Mount Kelly","PL19 0HZ","Independent","<3","<3"
"10483","Tavistock College","PL19 8DD","Maintained","<3","<3"
"10485","Teignmouth Community School","TQ14 9HZ","Maintained","<3","<3"
"10486","Blundell's School","EX16 4DN","Independent","10","<3"
"10490","Torquay Boys Grammar School","TQ2 7EL","Maintained","7","<3"
"10491","The Spires College","TQ1 3PE","Maintained","<3","<3"
"10495","Torquay Grammar School for Girls","TQ2 7DY","Maintained","5","<3"
"10499","King Edward VI Community College,Totnes","TQ9 5JX","Maintained","<3","<3"
"10500","Beaminster School, Beaminster","DT8 3EP","Maintained","<3","<3"
"10501","Bryanston School","DT11 0PX","Independent","8","<3"
"10502","The Blandford School","DT11 7SQ","Maintained","<3","<3"
"10503","Clayesmore School","DT11 8LL","Independent","<3","<3"
"10508","Thomas Hardye School","DT1 2ET","Maintained","8","<3"
"10511","Gillingham School","SP8 4QP","Maintained","<3","<3"
"10513","The Woodroffe School","DT7 3LX","Maintained","3","<3"
"10514","Parkstone Grammar School","BH17 7EP","Maintained","4","<3"
"10515","Poole Grammar School","BH17 9JU","Maintained","5","3"
"10518","Shaftesbury School","SP7 8ER","Maintained","<3","<3"
"10520","St Mary's School, Dorset","SP7 9LP","Independent","<3","<3"
"10522","The Gryphon School, Sherborne","DT9 4EQ","Maintained","8","3"
"10523","Sherborne School","DT9 3AP","Independent","4","<3"
"10524","Sherborne School for Girls","DT9 3QN","Independent","6","<3"
"10525","Leweston School Trust","DT9 6EN","Independent","3","<3"
"10527","The Purbeck School","BH20 4PF","Maintained","<3","<3"
"10532","Canford School","BH21 3AD","Independent","12","3"
"10533","Queen Elizabeths School, Wimborne","BH21 4DT","Maintained","4","<3"
"10534","Barnard Castle School","DL12 8UN","Independent","<3","<3"
"10535","Teesdale School","DL12 8HH","Maintained","3","<3"
"10540","Park View School","DH3 3QA","Maintained","<3","<3"
"10545","Carmel College, A Catholic Academy (formerly Carmel RC College, Darlington)","DL3 8RW","Maintained","4","<3"
"10547","Queen Elizabeth Sixth Form College, Darlington","DL3 7AU","Maintained","16","6"
"10549","Southbank International School","NW1 3AU","Independent","5","<3"
"10550","Durham High School","DH1 3TB","Independent","5","<3"
"10551","Durham Johnston Comprehensive School","DH1 4SU","Maintained","16","7"
"10552","Durham School","DH1 4SZ","Independent","6","3"
"10555","Durham Sixth Form Centre","DH1 1SG","Maintained","7","3"
"10559","Gateshead College","NE8 3BE","Maintained","4","<3"
