"ucas","name","application","offer"
"10001","Ysgol Syr Thomas Jones                                                   Min. Number of Records","<3","<3"
"10002","Ysgol David Hughes","<3","<3"
"10003","Holyhead High School                                                     Redacted Acceptances","<3","<3"
"10006","Ysgol Gyfun Llangefni                                                     -57","57","<3"
"10008","Redborne Upper School and Community","8","<3"
"10011","Bedford Modern School","10","<3"
"10012","Bedford School","13","<3"
"10018","Stratton Upper School, Bedfordshire","<3","<3"
"10022","Queensbury Academy","<3","<3"
"10026","St Marylebone Church of England","<3","<3"
"10027","Luton VI Form College","9","<3"
"10029","Abingdon School","27","7"
"10030","John Mason School, Abingdon","6","<3"
"10031","Our Lady's Abingdon Trustees Ltd","<3","<3"
"10032","Radley College","51","9"
"10033","St Helen & St Katharine","15","<3"
"10034","Heathfield School, Berkshire","<3","<3"
"10036","The Marist School","<3","<3"
"10038","St Georges School, Ascot","5","<3"
"10039","St Marys School, Ascot","16","8"
"10041","Ranelagh School","8","<3"
"10043","Ysgol Gyfun Bro Myrddin","6","<3"
"10044","Edgbarrow School","6","<3"
"10045","Wellington College, Crowthorne","39","13"
"10046","Didcot Sixth Form","13","<3"
"10050","Desborough College","<3","<3"
"10051","Newlands Girls' School","5","<3"
"10053","Oxford Sixth Form College","5","<3"
"10054","Downe House School","17","<3"
"10055","Kennet School","14","<3"
"10059","St Bartholomews School","19","5"
"10062","Abbey School, Reading","11","<3"
"10066","Bradfield College","5","<3"
"10067","The Bulmershe School","4","<3"
"10069","Highdown School and Sixth Form Centre","9","<3"
"10070","Kendrick School","19","8"
"10071","Leighton Park School","<3","<3"
"10072","Maiden Erlegh School","9","<3"
"10073","Oratory School, Woodcote","3","<3"
"10074","Padworth College","<3","<3"
"10075","Pangbourne College, Reading","3","<3"
"10077","Queen Anne's School","<3","<3"
"10078","Reading Blue Coat School","8","3"
"10080","Reading School","44","8"
"10084","Theale Green School","3","<3"
"10085","King's Academy Prospect","3","<3"
"10087","Wallingford School","<3","<3"
"10088","King Alfred's Academy","5","<3"
"10091","Windsor College","3","<3"
"10092","Eton College","112","35"
"10093","The Windsor Boys School","<3","<3"
"10094","Windsor Girls School","5","<3"
"10095","Reddam House Berkshire","3","<3"
"10097","Holt School, Wokingham","6","<3"
"10098","Luckley House School","6","<3"
"10102","Christ College","7","<3"
"10107","Dr Challoner's Grammar School","26","3"
"10108","Dr Challoner's High School for Girls","26","4"
"10110","Aylesbury High School","16","4"
"10111","Sir Henry Floyd Grammar School, Aylesbury","<3","<3"
"10112","Aylesbury Grammar School","19","<3"
"10115","Beaconsfield High School","22","4"
"10122","Royal Latin School","15","4"
"10123","Stowe School","8","<3"
"10124","Burnham Grammar School","6","<3"
"10127","Chesham Grammar School","24","5"
"10131","Pipers Corner School","<3","<3"
"10132","Royal Grammar School, Buckinghamshire","<3","<3"
"10134","Wycombe Abbey School, High Wycombe","<3","<3"
"10132","Royal Grammar School, Buckinghamshire","<3","<3"
"10134","Wycombe Abbey School, High","<3","<3"
"10135","Wycombe High School, High Wycombe","27","3"
"10136","John Hampden Grammar School","17","7"
"10137","Sir William Borlase's Grammar School","18","<3"
"10139","Langley Grammar School","22","7"
"10140","LVS Ascot                                                                  Redacted Acceptance Ra..","<3","<3"
"10142","Upton Court Grammar School","12","<3"
"10144","Herschel Grammar School","12","3"
"10145","St Bernard's Catholic Grammar School","17","<3"
"10149","The Radcliffe School                                                        -61","61","<3"
"10153","Ysgol Dyffryn Ogwen","<3","<3"
"10155","St Gerards School, Bangor","<3","<3"
"10158","John Bright School, Llandudno","3","<3"
"10162","Ysgol Dyffryn Nantlle, Caernarfon","<3","<3"
"10168","The Netherhall School and Oakes Sixth Form","<3","<3"
"10169","St Katherines School, Bristol","3","<3"
"10171","Long Road Sixth Form College","5","<3"
"10172","Hills Road Sixth Form College","149","40"
"10174","The Leys School","18","3"
"10175","The Perse School","54","20"
"10176","St Mary's School, Cambridge","<3","<3"
"10178","The King's School, Ely","6","<3"
"10180","Impington Village College","10","3"
"10185","Wisbech Grammar School","<3","<3"
"10189","Penglais School","4","<3"
"10190","Ysgol Bro Pedr","<3","<3"
"10199","Queen Elizabeth High School, Carmarthen","<3","<3"
"10204","Llandovery College","<3","<3"
"10209","St Michaels School, Llanelli","6","<3"
"10211","Alderley Edge School for Girls","<3","<3"
"10213","Altrincham Grammar School for Boys","20","7"
"10214","Altrincham Grammar School for Girls","28","6"
"10216","Loreto Grammar School, Altrincham","10","<3"
"10219","St Ambrose College","12","3"
"10221","Wirral Grammar School for Boys","<3","<3"
"10222","Wirral Grammar School for Girls","5","<3"
"10225","Birkenhead School, Birkenhead, Merseyside","<3","<3"
"10232","St Marys Music School, Edinburgh","<3","<3"
"10234","St Anselms College, Birkenhead","<3","<3"
"10238","The Cheadle College","<3","<3"
"10239","Cheadle Hulme School","13","<3"
"10240","Bede's School, Hailsham","3","<3"
"10241","Queen's Park High School","<3","<3"
"10243","The King's School, Chester","7","<3"
"10244","The Queen's School, Chester","3","<3"
"10257","Lymm High School","<3","<3"
"10258","The King's School, Macclesfield","5","<3"
"10263","Malbank School and Sixth Form","<3","<3"
"10268","Sir John Deanes College","30","5"
"10269","St John Plessington Catholic College","<3","<3"
"10271","Kings School, Oxford","3","<3"
"10274","Sale Grammar School","16","<3"
"10275","Sandbach School","3","<3"
"10277","Aquinas College","19","4"
"10285","Stockport Grammar School","11","<3"
"10292","Weatherhead High School","<3","<3"
"10296","West Kirby Grammar School","8","<3"
"10297","Wilmslow High School","3","<3"
"10301","Calday Grange Grammar School","13","<3"
"10303","Upton Hall School","<3","<3"
"10305","The Whitby High School","<3","<3"
"10307","Bodmin College","3","<3"
"10308","Budehaven Community School","3","<3"
"10309","Callington Community College","<3","<3"
"10310","Camborne Science and International Academy","<3","<3"
"10312","Falmouth School","<3","<3"
"10315","Helston Community College, Cornwall","5","<3"
"10316","Launceston College","<3","<3"
"10319","Liskeard School & Community College","<3","<3"
"10316","Launceston College","<3","<3"
"10319","Liskeard School & Community College","4","<3"
"10320","Newquay Tretherras School","4","<3"
"10331","Truro and Penwith College","28","8"
"10332","Truro High School for Girls","4","<3"
"10333","Truro School","12","3"
"10336","William Howard School                                                  Redacted Acceptance Ra..","<3","<3"
"10344","Trinity School, Carlisle","<3","<3"
"10346","Cockermouth School, Cockermouth","5","<3"
"10348","Keswick School","4","<3"
"10351","","11","<3"
"10352","St Bees School","<3","<3"
"10356","The Nelson Thomlinson School","<3","<3"
"10361","Emrys Ap Iwan School","<3","<3"
"10362","Eirias High School","<3","<3"
"10373","Ysgol Brynhyfryd","<3","<3"
"10374","Ruthin School","8","<3"
"10380","Maelor School, Wrexham","3","<3"
"10385","","7","<3"
"10386","Lady Manners School","4","<3"
"10387","Belper School, Belper","<3","<3"
"10391","Buxton Community School","3","<3"
"10394","","4","<3"
"10398","Tupton Hall School","5","<3"
"10410","Swanwick Hall","3","<3"
"10411","Ecclesbourne School","9","<3"
"10412","John Port Spencer Academy","4","<3"
"10417","Derby High School","<3","<3"
"10419","Highfields School, Matlock","5","<3"
"10424","Repton School","5","<3"
"10429","Anthony Gell School","<3","<3"
"10432","West Buckland School","3","<3"
"10433","Shebbear College, Beaworthy","<3","<3"
"10434","Bideford College","<3","<3"
"10438","Churston Ferrers Grammar School","5","<3"
"10439","Colyton Grammar School","20","7"
"10440","Queen Elizabeth's","<3","<3"
"10443","Exeter School","10","<3"
"10444","Exeter College, Hele Road Centre","43","15"
"10450","Maynard School","10","<3"
"10453","Exmouth Community College","<3","<3"
"10455","Kingsbridge Academy","<3","<3"
"10459","Okehampton College","<3","<3"
"10460","The King's School, Ottery St Mary","4","<3"
"10463","Devonport High School for Boys","10","<3"
"10464","Devonport High School for Girls","13","3"
"10465","Notre Dame R C School","<3","<3"
"10467","Plymouth College","3","<3"
"10468","Plymouth High School for Girls","3","<3"
"10470","Hele's School","<3","<3"
"10471","Plymstock School, Plymouth","<3","<3"
"10482","Mount Kelly","4","<3"
"10483","Tavistock College","<3","<3"
"10486","Blundell's School","10","<3"
"10490","Torquay Boys Grammar School","16","6"
"10495","Torquay Grammar School for Girls","9","3"
"10499","King Edward VI Community College,Totnes","<3","<3"
"10500","Beaminster School, Beaminster","<3","<3"
"10501","Bryanston School","5","<3"
"10502","The Blandford School","<3","<3"
"10503","Clayesmore School","<3","<3"
"10508","Thomas Hardye School","23","4"
"10511","Gillingham School","6","<3"
"10513","The Woodroffe School","<3","<3"
"10514","Parkstone Grammar School","5","<3"
"10515","Poole Grammar School","16","<3"
"10518","Shaftesbury School","3","<3"
"10522","The Gryphon School, Sherborne","10","<3"
"10523","Sherborne School","15","3"
"10524","Sherborne School for Girls","<3","<3"
"10523","Sherborne School","<3","<3"
"10524","Sherborne School for Girls","6","3"
"10525","Leweston School Trust","<3","<3"
"10527","The Purbeck School                                                            Redacted Acceptances","<3","<3"
"10532","Canford School","20","4"
"10533","Queen Elizabeths School, Wimborne","<3","<3"
"10534","Barnard Castle School","6","<3"
"10537","King James","1","<3"
"10540","Park View School","4","<3"
"10545","","5","<3"
"10547","","19","<3"
"10549","Southbank International School","<3","<3"
"10550","Durham High School","4","<3"
"10551","","15","<3"
"10552","Durham School","6","<3"
"10555","Durham Sixth Form Centre","15","4"
"10559","Gateshead College","<3","<3"
"10563","Hartlepool VI Form College","<3","<3"
"10569","St. Joseph's Catholic Academy","3","<3"
"10572","St. Bede's Catholic Academy, Lanchester","<3","<3"
"10573","Weston Road Academy (formerly Weston Road..","<3","<3"
"10579","Downend Comprehensive School","<3","<3"
"10586","Chase Grammar School (Formerly","<3","<3"
"10587","Brimsham Green School","<3","<3"
"10590","Stockton Sixth Form College","<3","<3"
"10603","St. Aidan's Catholic Academy (formerly St Aida..","<3","<3"
"10604","St Anthony's Girls' Catholic Academy","4","<3"
"10607","Egglescliffe School","5","<3"
"10614","The Cotswold School Academy Trust","14","<3"
"10615","Barking Abbey School","6","<3"
"10616","Eastbury Comprehensive School, Barking","<3","<3"
"10622","The Billericay School","<3","<3"
