"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
County Durham,http://landregistry.data.gov.uk/id/region/county-durham,E06000047,2004-01,761,monthly,74767,127054,73549,58629,59292,2004-01-01
County Durham,http://landregistry.data.gov.uk/id/region/county-durham,E06000047,2004-02,849,monthly,74703,126417,73518,58684,59221,2004-02-01
County Durham,http://landregistry.data.gov.uk/id/region/county-durham,E06000047,2004-03,988,monthly,75723,128220,74411,59504,59713,2004-03-01
County Durham,http://landregistry.data.gov.uk/id/region/county-durham,E06000047,2004-04,1223,monthly,78406,130963,77085,61997,61727,2004-04-01
County Durham,http://landregistry.data.gov.uk/id/region/county-durham,E06000047,2004-05,1018,monthly,83277,137556,81686,66270,65647,2004-05-01
County Durham,http://landregistry.data.gov.uk/id/region/county-durham,E06000047,2004-06,1185,monthly,87315,143112,85737,69677,69008,2004-06-01
County Durham,http://landregistry.data.gov.uk/id/region/county-durham,E06000047,2004-07,1216,monthly,90681,148124,89137,72454,71394,2004-07-01
County Durham,http://landregistry.data.gov.uk/id/region/county-durham,E06000047,2004-08,1009,monthly,92782,151670,91162,74145,72779,2004-08-01
County Durham,http://landregistry.data.gov.uk/id/region/county-durham,E06000047,2004-09,941,monthly,94819,155060,93014,75857,73953,2004-09-01
County Durham,http://landregistry.data.gov.uk/id/region/county-durham,E06000047,2004-10,993,monthly,96105,157634,93912,76909,75456,2004-10-01
County Durham,http://landregistry.data.gov.uk/id/region/county-durham,E06000047,2004-11,776,monthly,96769,158649,94547,77449,76178,2004-11-01
County Durham,http://landregistry.data.gov.uk/id/region/county-durham,E06000047,2004-12,899,monthly,97960,160015,95607,78560,77464,2004-12-01
County Durham,http://landregistry.data.gov.uk/id/region/county-durham,E06000047,2005-01,482,monthly,97387,159075,95003,78126,76944,2005-01-01
County Durham,http://landregistry.data.gov.uk/id/region/county-durham,E06000047,2005-02,567,monthly,98882,161537,96518,79293,78070,2005-02-01
