"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2004-01,190,monthly,155759,275263,166788,139106,111394,2004-01-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2004-02,184,monthly,158364,278522,169364,141607,113332,2004-02-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2004-03,213,monthly,158911,279651,169632,142253,113556,2004-03-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2004-04,255,monthly,159801,277834,170227,143537,114178,2004-04-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2004-05,229,monthly,164188,282537,174330,147858,117560,2004-05-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2004-06,322,monthly,170066,290054,180390,153320,122128,2004-06-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2004-07,305,monthly,174855,298116,185808,157647,125353,2004-07-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2004-08,235,monthly,175285,299262,186501,158001,125481,2004-08-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2004-09,199,monthly,176353,302544,188059,158926,125721,2004-09-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2004-10,185,monthly,177067,303482,188485,159478,126696,2004-10-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2004-11,150,monthly,178016,304874,189426,160262,127614,2004-11-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2004-12,149,monthly,179456,305036,190565,161701,129137,2004-12-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2005-01,118,monthly,177102,300601,187555,159772,127483,2005-01-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2005-02,139,monthly,175970,297719,186404,158871,126626,2005-02-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2005-03,145,monthly,173791,294316,184357,156966,124713,2005-03-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2005-04,176,monthly,173009,291252,184029,156435,123907,2005-04-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2005-05,162,monthly,174909,294359,185761,158227,125305,2005-05-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2005-06,214,monthly,171925,287692,182304,155782,123185,2005-06-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2005-07,247,monthly,176362,295727,187035,159769,126292,2005-07-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2005-08,228,monthly,175878,295129,186429,159506,125641,2005-08-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2005-09,216,monthly,177458,298807,188129,160944,126548,2005-09-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2005-10,209,monthly,173247,291525,183265,157171,123712,2005-10-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2005-11,234,monthly,172590,289799,182787,156548,123291,2005-11-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2005-12,232,monthly,173656,290125,183466,157491,124621,2005-12-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2006-01,172,monthly,177491,296152,187344,161284,126980,2006-01-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2006-02,180,monthly,177641,295170,187080,161575,127316,2006-02-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2006-03,231,monthly,177949,296605,187888,161962,126894,2006-03-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2006-04,264,monthly,178180,296208,188344,162158,127134,2006-04-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2006-05,237,monthly,181676,302268,192290,165286,129498,2006-05-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2006-06,304,monthly,184422,305510,195188,167967,131473,2006-06-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2006-07,321,monthly,185798,307878,196490,169543,131987,2006-07-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2006-08,328,monthly,186465,309186,197130,170547,131780,2006-08-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2006-09,286,monthly,189152,314889,199975,173042,133312,2006-09-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2006-10,274,monthly,192196,320239,203202,175640,135695,2006-10-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2006-11,246,monthly,192486,320939,203799,175829,135792,2006-11-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2006-12,274,monthly,191909,318511,202959,175490,135571,2006-12-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2007-01,212,monthly,190608,316525,201691,174367,134429,2007-01-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2007-02,173,monthly,192453,318927,203254,175860,136359,2007-02-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2007-03,193,monthly,196027,325422,207133,179235,138502,2007-03-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2007-04,234,monthly,200769,331810,211712,183888,141933,2007-04-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2007-05,255,monthly,205351,338117,216330,188372,145131,2007-05-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2007-06,267,monthly,207861,341756,218704,190741,147056,2007-06-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2007-07,254,monthly,204466,337131,215323,187622,144363,2007-07-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2007-08,305,monthly,202499,335666,213483,186137,142023,2007-08-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2007-09,214,monthly,201003,334327,212091,184672,140770,2007-09-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2007-10,192,monthly,204982,341162,215900,188140,143993,2007-10-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2007-11,223,monthly,205435,342536,216467,188167,144695,2007-11-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2007-12,186,monthly,206386,344128,217320,188943,145582,2007-12-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2008-01,130,monthly,205442,343585,216556,187859,144900,2008-01-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2008-02,134,monthly,201829,337653,212937,184534,142306,2008-02-01
Exeter,http://landregistry.data.gov.uk/id/region/exeter,E07000041,2008-03,118,monthly,200881,336718,212724,183835,140983,2008-03-01
