"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2004-01,306,monthly,328761,507176,498559,413817,303649,2004-01-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2004-02,276,monthly,327738,502499,498891,413034,302416,2004-02-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2004-03,336,monthly,331533,509222,505049,418402,305589,2004-03-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2004-04,359,monthly,340684,517735,518078,431161,313573,2004-04-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2004-05,317,monthly,347520,522900,523412,439694,320064,2004-05-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2004-06,345,monthly,349700,522431,526261,442360,322134,2004-06-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2004-07,408,monthly,355963,532887,537145,450880,327620,2004-07-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2004-08,337,monthly,358497,539532,545167,454948,329484,2004-08-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2004-09,299,monthly,357918,541520,546569,455014,328554,2004-09-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2004-10,253,monthly,348945,526263,529719,441604,321219,2004-10-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2004-11,225,monthly,338637,509048,511837,427409,312264,2004-11-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2004-12,231,monthly,334676,498001,502246,420992,309306,2004-12-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2005-01,196,monthly,336816,499862,506239,425447,310549,2005-01-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2005-02,160,monthly,346280,515822,524785,439086,318479,2005-02-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2005-03,214,monthly,349363,519626,531900,444423,320682,2005-03-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2005-04,263,monthly,362157,538140,552132,460842,332348,2005-04-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2005-05,260,monthly,360542,532077,545650,457973,331325,2005-05-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2005-06,282,monthly,369193,546489,558695,470218,338730,2005-06-01
