"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2004-01,694,monthly,76968,148499,91215,63190,72074,2004-01-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2004-02,781,monthly,79781,153126,94302,65624,74731,2004-02-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2004-03,879,monthly,81024,155494,95570,66721,75622,2004-03-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2004-04,947,monthly,84727,160259,99768,70058,78739,2004-04-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2004-05,807,monthly,87688,163366,102780,72854,81244,2004-05-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2004-06,911,monthly,92333,170166,107960,76837,85668,2004-06-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2004-07,1059,monthly,96898,177950,113373,80867,89320,2004-07-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2004-08,848,monthly,99720,183274,116792,83361,91440,2004-08-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2004-09,785,monthly,101758,187459,119281,85304,92533,2004-09-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2004-10,860,monthly,101977,187916,119159,85380,93299,2004-10-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2004-11,638,monthly,103529,190307,120664,86720,94917,2004-11-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2004-12,698,monthly,105591,193030,122593,88492,97209,2004-12-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2005-01,439,monthly,104866,191600,121319,87902,96859,2005-01-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2005-02,493,monthly,102945,188091,119132,86185,95354,2005-02-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2005-03,582,monthly,102683,188038,119078,85963,94889,2005-03-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2005-04,653,monthly,103801,189273,120650,87108,95309,2005-04-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2005-05,584,monthly,106868,194618,123992,89877,97832,2005-05-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2005-06,655,monthly,106517,191889,123165,89881,97337,2005-06-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2005-07,744,monthly,108602,195299,125579,91740,99042,2005-07-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2005-08,664,monthly,109083,195751,125974,92364,99114,2005-08-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2005-09,703,monthly,111456,200913,128747,94513,100797,2005-09-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2005-10,651,monthly,111782,201437,128711,94903,101120,2005-10-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2005-11,652,monthly,113579,204425,130809,96535,102500,2005-11-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2005-12,742,monthly,115004,205430,131931,97760,104322,2005-12-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2006-01,507,monthly,116245,207334,133173,98929,105340,2006-01-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2006-02,507,monthly,117338,208397,134033,99840,106812,2006-02-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2006-03,728,monthly,115545,206402,132420,98371,104568,2006-03-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2006-04,609,monthly,118019,209809,135219,100603,106645,2006-04-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2006-05,715,monthly,118257,210196,135674,100832,106639,2006-05-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2006-06,916,monthly,120771,213275,138343,103163,108785,2006-06-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2006-07,830,monthly,119677,211179,136920,102438,107412,2006-07-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2006-08,885,monthly,119861,211342,137077,102933,106754,2006-08-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2006-09,768,monthly,119617,211745,136825,102703,106452,2006-09-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2006-10,821,monthly,119984,212749,137367,102958,106786,2006-10-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2006-11,956,monthly,121616,215600,139305,104380,108127,2006-11-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2006-12,890,monthly,123240,217233,140884,105965,109479,2006-12-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2007-01,675,monthly,124156,218812,141904,106867,110025,2007-01-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2007-02,678,monthly,123675,217825,141187,106321,110137,2007-02-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2007-03,845,monthly,123377,217717,140942,106183,109419,2007-03-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2007-04,754,monthly,123980,217662,141353,106835,109977,2007-04-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2007-05,787,monthly,124440,217312,141618,107441,110189,2007-05-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2007-06,849,monthly,125253,218117,142320,108213,110997,2007-06-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2007-07,929,monthly,127287,222300,144698,109988,112601,2007-07-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2007-08,947,monthly,129000,226170,146776,111683,113289,2007-08-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2007-09,672,monthly,130249,229279,148362,112740,114181,2007-09-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2007-10,694,monthly,128918,227791,146709,111512,113229,2007-10-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2007-11,680,monthly,128300,227461,146199,110743,113055,2007-11-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2007-12,612,monthly,129580,229199,147508,111823,114457,2007-12-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2008-01,477,monthly,129125,228502,146926,111475,113973,2008-01-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2008-02,531,monthly,127281,225435,144658,109920,112362,2008-02-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2008-03,621,monthly,123949,221249,141389,107036,108914,2008-03-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2008-04,507,monthly,124290,222582,141977,107507,108702,2008-04-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2008-05,578,monthly,123891,221615,141637,107184,108264,2008-05-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2008-06,429,monthly,123398,219878,140839,106807,107964,2008-06-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2008-07,518,monthly,122503,218351,140245,105837,107266,2008-07-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2008-08,355,monthly,122696,218827,140418,106130,107222,2008-08-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2008-09,368,monthly,122254,220196,139892,105670,106791,2008-09-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2008-10,298,monthly,119192,215234,136327,102929,104277,2008-10-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2008-11,235,monthly,116431,211105,133411,100389,101919,2008-11-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2008-12,284,monthly,113846,205061,130600,98333,99374,2008-12-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2009-01,203,monthly,112609,203489,129088,97160,98485,2009-01-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2009-02,185,monthly,113390,205186,130025,97557,99737,2009-02-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2009-03,262,monthly,110139,199920,126347,94348,97665,2009-03-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2009-04,188,monthly,109763,198007,126064,94028,97382,2009-04-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2009-05,260,monthly,106826,191865,122700,91649,94558,2009-05-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2009-06,294,monthly,108855,195260,125133,93609,95679,2009-06-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2009-07,326,monthly,110088,197656,126759,94867,95944,2009-07-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2009-08,300,monthly,114093,205660,131544,98524,98508,2009-08-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2009-09,276,monthly,115995,209654,133944,100158,99808,2009-09-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2009-10,362,monthly,114595,207700,132493,98886,98463,2009-10-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2009-11,281,monthly,113058,205071,130625,97702,96849,2009-11-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2009-12,351,monthly,114270,205761,131924,99109,97358,2009-12-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2010-01,207,monthly,114246,206645,132269,99182,96482,2010-01-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2010-02,290,monthly,113844,206454,132336,98742,95645,2010-02-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2010-03,277,monthly,111322,204455,129703,96097,93813,2010-03-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2010-04,272,monthly,112649,206186,131117,97173,95371,2010-04-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2010-05,289,monthly,112246,205506,130574,96678,95464,2010-05-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2010-06,341,monthly,112262,204918,130644,96910,94992,2010-06-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2010-07,369,monthly,113298,207689,131978,97895,95349,2010-07-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2010-08,390,monthly,112829,207371,131838,97515,94377,2010-08-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2010-09,328,monthly,115450,213628,135070,99657,96425,2010-09-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2010-10,345,monthly,114660,212717,134204,98825,95976,2010-10-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2010-11,286,monthly,114590,213345,134022,98650,96159,2010-11-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2010-12,303,monthly,112532,209222,131719,96751,94700,2010-12-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2011-01,236,monthly,111691,208763,130789,95793,94321,2011-01-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2011-02,250,monthly,109635,205819,128185,93973,92759,2011-02-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2011-03,268,monthly,108217,205129,126625,92565,91591,2011-03-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2011-04,312,monthly,108401,205075,126722,92818,91687,2011-04-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2011-05,337,monthly,109010,204945,127463,93204,92776,2011-05-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2011-06,339,monthly,108732,202003,127061,93126,92612,2011-06-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2011-07,301,monthly,107823,199591,125947,92339,92048,2011-07-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2011-08,347,monthly,107878,200336,126369,92523,91189,2011-08-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2011-09,303,monthly,107895,201572,126378,92633,90744,2011-09-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2011-10,343,monthly,108323,203257,127330,92921,90647,2011-10-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2011-11,302,monthly,109767,206285,128955,93990,92347,2011-11-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2011-12,311,monthly,109862,205585,129227,93958,92708,2011-12-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2012-01,224,monthly,107290,199982,126174,91871,90398,2012-01-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2012-02,227,monthly,106539,198217,125207,91451,89317,2012-02-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2012-03,334,monthly,106792,198188,125279,91878,89356,2012-03-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2012-04,235,monthly,107662,199909,126238,92553,90365,2012-04-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2012-05,281,monthly,106465,197232,124803,91555,89417,2012-05-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2012-06,318,monthly,106313,196544,124487,91546,89192,2012-06-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2012-07,309,monthly,107543,198252,125777,92760,90069,2012-07-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2012-08,320,monthly,109300,201087,127763,94449,91187,2012-08-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2012-09,289,monthly,108640,200717,127042,93842,90471,2012-09-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2012-10,291,monthly,106363,196731,124435,91831,88588,2012-10-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2012-11,303,monthly,104495,193954,122343,90147,86966,2012-11-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2012-12,338,monthly,105472,196328,123720,90837,87818,2012-12-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2013-01,292,monthly,105141,196197,123702,90491,87151,2013-01-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2013-02,285,monthly,105708,197468,124431,90916,87717,2013-02-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2013-03,328,monthly,103705,194626,122246,89012,86176,2013-03-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2013-04,297,monthly,104937,197020,123372,90085,87529,2013-04-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2013-05,390,monthly,105835,198518,124484,90798,88408,2013-05-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2013-06,351,monthly,108267,201670,127231,93183,90071,2013-06-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2013-07,488,monthly,107993,200531,126836,93135,89560,2013-07-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2013-08,442,monthly,108193,200586,126992,93429,89555,2013-08-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2013-09,396,monthly,108909,203327,128007,93852,90166,2013-09-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2013-10,395,monthly,108990,204762,128394,93634,90388,2013-10-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2013-11,559,monthly,107765,203347,127244,92420,89268,2013-11-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2013-12,486,monthly,106757,200453,126059,91584,88564,2013-12-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2014-01,429,monthly,107450,201276,126741,92361,88906,2014-01-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2014-02,445,monthly,108047,202505,127368,93000,89179,2014-02-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2014-03,460,monthly,108565,203751,128082,93421,89494,2014-03-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2014-04,350,monthly,111507,208933,131469,96013,91927,2014-04-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2014-05,479,monthly,112439,209896,132513,96821,92878,2014-05-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2014-06,523,monthly,113846,212277,134109,98223,93727,2014-06-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2014-07,565,monthly,111530,207687,131444,96374,91494,2014-07-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2014-08,529,monthly,112881,210341,133114,97711,92145,2014-08-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2014-09,508,monthly,113013,210666,133218,97878,92169,2014-09-01
Liverpool,http://landregistry.data.gov.uk/id/region/liverpool,E08000012,2014-10,576,monthly,115553,215895,136332,99937,94343,2014-10-01
