"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,2004-01,386,monthly,190195,418627,253155,172601,150050,2004-01-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,2004-02,346,monthly,190673,418685,253213,173209,150538,2004-02-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,2004-03,386,monthly,192155,422435,254743,174708,151620,2004-03-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,2004-04,465,monthly,194608,423603,257485,177587,153491,2004-04-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,2004-05,436,monthly,197569,423908,260642,180798,156031,2004-05-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,2004-06,462,monthly,202145,429715,266151,185144,159904,2004-06-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,2004-07,506,monthly,206055,437830,271776,188849,162785,2004-07-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,2004-08,423,monthly,208743,447098,275410,191335,164685,2004-08-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,2004-09,354,monthly,210029,452555,277783,192595,165303,2004-09-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,2004-10,321,monthly,209698,450679,276154,192075,165600,2004-10-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,2004-11,328,monthly,210496,450600,276845,192821,166419,2004-11-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,2004-12,287,monthly,209585,445409,274453,192241,166059,2004-12-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,2005-01,176,monthly,209205,445367,273644,192178,165627,2005-01-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,2005-02,210,monthly,207733,443055,272133,190874,164237,2005-02-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,2005-03,288,monthly,208081,444954,273184,191650,163991,2005-03-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,2005-04,318,monthly,210105,447169,276362,194041,165202,2005-04-01
