"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2004-01,386,monthly,146260,235192,148175,120261,108067,2004-01-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2004-02,339,monthly,145967,233700,147670,120202,108284,2004-02-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2004-03,420,monthly,149794,240018,151259,123446,110995,2004-03-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2004-04,463,monthly,151672,240634,153232,125773,112160,2004-04-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2004-05,433,monthly,156337,246282,157908,130219,115550,2004-05-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2004-06,500,monthly,158658,248127,160275,132452,117572,2004-06-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2004-07,524,monthly,160720,251361,162688,134203,118676,2004-07-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2004-08,375,monthly,162996,255520,165221,136124,119815,2004-08-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2004-09,324,monthly,165618,260981,168149,138239,120965,2004-09-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2004-10,384,monthly,169163,266267,171271,141032,124458,2004-10-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2004-11,233,monthly,169056,265629,171005,140824,124929,2004-11-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2004-12,341,monthly,169205,264177,170816,141102,125927,2004-12-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2005-01,200,monthly,169160,263480,170354,141292,126319,2005-01-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2005-02,205,monthly,170021,264038,171148,142036,127350,2005-02-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2005-03,234,monthly,170040,263888,171176,142102,127331,2005-03-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2005-04,308,monthly,168888,260646,170303,141283,126464,2005-04-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2005-05,333,monthly,170512,263080,171739,142859,127591,2005-05-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2005-06,395,monthly,172651,265107,173828,145065,129093,2005-06-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2005-07,376,monthly,175228,269941,176592,147256,130439,2005-07-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2005-08,411,monthly,175112,270039,176399,147389,129960,2005-08-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2005-09,335,monthly,174750,270622,176023,147080,129267,2005-09-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2005-10,332,monthly,173598,268559,174459,146161,128911,2005-10-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2005-11,368,monthly,174060,268775,175106,146410,129461,2005-11-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2005-12,412,monthly,173919,267120,174684,146328,130190,2005-12-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2006-01,258,monthly,175999,270261,176614,148414,131413,2006-01-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2006-02,282,monthly,175574,268677,175860,148360,131547,2006-02-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2006-03,352,monthly,178052,273424,178665,150459,132681,2006-03-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2006-04,393,monthly,177138,271170,178003,149709,132055,2006-04-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2006-05,402,monthly,178329,273080,179373,150679,132695,2006-05-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2006-06,537,monthly,179955,274515,181014,152301,134007,2006-06-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2006-07,476,monthly,181116,276423,182015,153605,134393,2006-07-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2006-08,514,monthly,185102,282959,185980,157285,136530,2006-08-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2006-09,427,monthly,183079,280880,183928,155563,134476,2006-09-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2006-10,404,monthly,184064,282793,184888,156209,135402,2006-10-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2006-11,409,monthly,183634,282317,184602,155716,135015,2006-11-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2006-12,420,monthly,189527,289984,190356,161056,139730,2006-12-01
York,http://landregistry.data.gov.uk/id/region/york,E06000014,2007-01,297,monthly,190818,292046,191725,162213,140398,2007-01-01
