"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2004-01,1097,monthly,140164,314608,180963,138848,113150,2004-01-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2004-02,811,monthly,139171,305053,177287,137222,112990,2004-02-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2004-03,1092,monthly,142279,309112,180528,140117,115723,2004-03-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2004-04,1402,monthly,150103,316093,189602,148169,122492,2004-04-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2004-05,1345,monthly,159387,331678,201275,157817,130133,2004-05-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2004-06,1526,monthly,165899,340477,208473,164100,135779,2004-06-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2004-07,1573,monthly,168120,349446,211642,166824,137263,2004-07-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2004-08,1338,monthly,168478,353893,212279,167190,137381,2004-08-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2004-09,1286,monthly,166835,353721,211232,166047,135701,2004-09-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2004-10,1317,monthly,163368,345965,206091,161810,133135,2004-10-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2004-11,1247,monthly,159661,338552,202108,158629,129928,2004-11-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2004-12,1199,monthly,160831,339186,203134,160007,130951,2004-12-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2005-01,940,monthly,162810,344447,205587,162440,132420,2005-01-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2005-02,773,monthly,162917,343730,205689,162208,132584,2005-02-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2005-03,897,monthly,163056,341299,205119,162046,132606,2005-03-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2005-04,1312,monthly,163822,334642,204252,162286,133454,2005-04-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2005-05,1369,monthly,168346,339406,207575,166215,137350,2005-05-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2005-06,1419,monthly,170467,341073,209515,168193,139150,2005-06-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2005-07,1558,monthly,171380,344477,211344,169491,139798,2005-07-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2005-08,1307,monthly,173446,349237,214486,171995,141391,2005-08-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2005-09,1424,monthly,173777,353960,215947,173101,141473,2005-09-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2005-10,1163,monthly,173432,356473,216062,173027,141102,2005-10-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2005-11,1287,monthly,171565,350950,213263,171307,139601,2005-11-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2005-12,1312,monthly,172227,346300,211321,170557,140504,2005-12-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2006-01,1073,monthly,174923,350534,214676,173529,142673,2006-01-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2006-02,690,monthly,178540,354014,218182,176755,145713,2006-02-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2006-03,1271,monthly,177340,351193,218052,176576,144517,2006-03-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2006-04,1228,monthly,178859,347349,218253,177439,145953,2006-04-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2006-05,1457,monthly,181519,350483,220864,179541,148229,2006-05-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2006-06,1992,monthly,188105,359199,227320,185302,153792,2006-06-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2006-07,1551,monthly,191013,367159,231356,188639,156072,2006-07-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2006-08,1592,monthly,192986,377384,236090,192285,157342,2006-08-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2006-09,1741,monthly,193174,385337,238731,193598,157203,2006-09-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2006-10,1365,monthly,196778,391537,242563,196686,160228,2006-10-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2006-11,1461,monthly,197167,388917,242061,196474,160681,2006-11-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2006-12,1532,monthly,200409,389731,243777,198614,163584,2006-12-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2007-01,1021,monthly,198143,387143,241747,196991,161621,2007-01-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2007-02,696,monthly,196575,382346,238494,194506,160510,2007-02-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2007-03,1153,monthly,196502,382574,238939,195264,160314,2007-03-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2007-04,1201,monthly,203508,390639,246094,201971,166154,2007-04-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2007-05,1397,monthly,212856,406637,257304,211968,173710,2007-05-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2007-06,1884,monthly,216012,410649,260119,214506,176399,2007-06-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2007-07,1606,monthly,219446,419518,264838,218429,179097,2007-07-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2007-08,1752,monthly,220318,426944,267472,220124,179614,2007-08-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2007-09,1235,monthly,225750,441922,275641,226352,183873,2007-09-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2007-10,1246,monthly,222240,438937,271217,222461,181028,2007-10-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2007-11,1414,monthly,222938,436326,270586,222081,181809,2007-11-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2007-12,1114,monthly,221519,429426,267552,219855,180814,2007-12-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2008-01,858,monthly,221473,429208,268380,220283,180701,2008-01-01
Edinburgh,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,S12000036,2008-02,754,monthly,219181,423667,265055,218124,179150,2008-02-01
