"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2004-01,1137,monthly,80685,206106,107324,86313,72057,2004-01-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2004-02,1015,monthly,83091,205709,108882,88157,74532,2004-02-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2004-03,1255,monthly,83218,204536,108971,88435,74653,2004-03-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2004-04,1495,monthly,86514,205102,113322,92355,77667,2004-04-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2004-05,1415,monthly,88800,208714,116734,95306,79645,2004-05-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2004-06,1564,monthly,94105,217294,123302,100795,84524,2004-06-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2004-07,1539,monthly,94649,221547,124272,101510,84928,2004-07-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2004-08,1476,monthly,94804,224454,124851,101953,84960,2004-08-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2004-09,1365,monthly,93158,223724,123465,100625,83314,2004-09-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2004-10,1506,monthly,95178,228916,125468,102482,85209,2004-10-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2004-11,1268,monthly,95280,229122,125655,102693,85284,2004-11-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2004-12,1359,monthly,96314,229269,126151,103655,86333,2004-12-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2005-01,1066,monthly,96182,229346,125601,103633,86222,2005-01-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2005-02,921,monthly,97130,229418,125934,104322,87163,2005-02-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2005-03,1224,monthly,98352,230112,126433,105737,88215,2005-03-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2005-04,1435,monthly,99790,227096,126842,107074,89587,2005-04-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2005-05,1389,monthly,100852,226518,126972,107843,90618,2005-05-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2005-06,1647,monthly,102969,229404,129085,109849,92565,2005-06-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2005-07,1555,monthly,106158,237990,133802,113545,95381,2005-07-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2005-08,1593,monthly,110075,247819,139194,118184,98846,2005-08-01
Glasgow,http://landregistry.data.gov.uk/id/region/city-of-glasgow,S12000049,2005-09,1659,monthly,110706,251689,140772,119206,99351,2005-09-01
