"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2004-01,4937,monthly,238239,529248,358044,264791,226258,2004-01-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2004-02,4523,monthly,239296,533668,359749,266329,227132,2004-02-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2004-03,5569,monthly,241306,541469,363054,269978,228461,2004-03-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2004-04,5944,monthly,243660,540665,365489,273368,230506,2004-04-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2004-05,5242,monthly,246541,540239,368404,276186,233455,2004-05-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2004-06,6263,monthly,249365,543022,372135,278710,236377,2004-06-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2004-07,7012,monthly,253340,553190,378568,283598,239971,2004-07-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2004-08,5988,monthly,256614,563724,384680,288258,242679,2004-08-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2004-09,5373,monthly,258547,572156,390084,291925,243891,2004-09-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2004-10,4655,monthly,256051,565793,385302,288902,241648,2004-10-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2004-11,4031,monthly,255566,562194,382550,287433,241589,2004-11-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2004-12,4149,monthly,252858,549129,375523,283862,239351,2004-12-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2005-01,3219,monthly,253536,548845,375535,284790,239983,2005-01-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2005-02,3143,monthly,253301,549329,376658,285874,239253,2005-02-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2005-03,3717,monthly,254701,554057,379579,287637,240474,2005-03-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2005-04,4188,monthly,257293,556291,383462,290687,242896,2005-04-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2005-05,4302,monthly,257978,555804,383771,290918,243757,2005-05-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2005-06,4870,monthly,259661,558704,386454,293884,244995,2005-06-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2005-07,5431,monthly,260764,565409,389988,296219,245589,2005-07-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2005-08,5302,monthly,263219,573199,393674,299438,247750,2005-08-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2005-09,5459,monthly,263543,578002,395346,300107,247893,2005-09-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2005-10,4836,monthly,261045,569950,390214,297123,245653,2005-10-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2005-11,4811,monthly,259643,563540,387019,296244,244159,2005-11-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2005-12,5219,monthly,261627,560133,385375,296951,246748,2005-12-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-01,4459,monthly,264926,568727,390752,301182,249676,2006-01-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-02,4352,monthly,265721,570078,391639,301056,250760,2006-02-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-03,5587,monthly,267544,580597,397542,304425,251891,2006-03-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-04,5014,monthly,270595,585001,400608,307313,255014,2006-04-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-05,5366,monthly,275878,599743,409598,313965,259725,2006-05-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-06,6414,monthly,280741,608913,416519,319755,264241,2006-06-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-07,6596,monthly,284717,621718,425605,325766,267380,2006-07-01
