"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Newcastle,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,E08000021,2004-01,403,monthly,121010,222231,134095,111390,95272,2004-01-01
Newcastle,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,E08000021,2004-02,392,monthly,121077,221988,134073,111593,95276,2004-02-01
Newcastle,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,E08000021,2004-03,495,monthly,120446,221488,133204,111072,94623,2004-03-01
Newcastle,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,E08000021,2004-04,539,monthly,122938,222917,135765,113837,96529,2004-04-01
Newcastle,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,E08000021,2004-05,473,monthly,125745,224969,138349,116620,99010,2004-05-01
Newcastle,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,E08000021,2004-06,623,monthly,131471,232789,144348,121932,103809,2004-06-01
Newcastle,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,E08000021,2004-07,563,monthly,135006,238479,148495,125340,106448,2004-07-01
Newcastle,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,E08000021,2004-08,599,monthly,141916,251242,156328,131827,111712,2004-08-01
Newcastle,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,E08000021,2004-09,495,monthly,141513,251688,156417,131631,110973,2004-09-01
Newcastle,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,E08000021,2004-10,455,monthly,140999,250879,155417,130847,110950,2004-10-01
Newcastle,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,E08000021,2004-11,409,monthly,138128,245711,152100,128078,108831,2004-11-01
Newcastle,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,E08000021,2004-12,429,monthly,138850,245440,152274,128769,109736,2004-12-01
Newcastle,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,E08000021,2005-01,285,monthly,137358,242850,150210,127608,108552,2005-01-01
Newcastle,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,E08000021,2005-02,287,monthly,137034,242503,149946,127463,108149,2005-02-01
Newcastle,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,E08000021,2005-03,318,monthly,132115,234718,145053,123103,103872,2005-03-01
