"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2004-01,7830,monthly,207315,422182,263578,196122,170405,2004-01-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2004-02,7637,monthly,208928,425350,265535,197806,171649,2004-02-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2004-03,8840,monthly,210094,428829,266523,199730,172478,2004-03-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2004-04,8929,monthly,212434,429311,268972,202572,174369,2004-04-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2004-05,8371,monthly,214762,427644,270990,205110,176770,2004-05-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2004-06,9900,monthly,217786,429657,274485,208061,179579,2004-06-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2004-07,10600,monthly,219793,433301,277499,210104,180972,2004-07-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2004-08,9032,monthly,221903,440738,280389,212206,182355,2004-08-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2004-09,8127,monthly,222918,444960,282234,213627,182486,2004-09-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2004-10,7376,monthly,223418,445674,281959,213947,183379,2004-10-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2004-11,6759,monthly,223613,444575,281917,214142,183733,2004-11-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2004-12,6710,monthly,223023,441700,280432,213419,183758,2004-12-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2005-01,4801,monthly,222732,441604,279666,213326,183496,2005-01-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2005-02,4686,monthly,221096,439255,277970,211802,181921,2005-02-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2005-03,5644,monthly,220895,438537,277657,212185,181350,2005-03-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2005-04,6102,monthly,221006,436613,278232,212784,181022,2005-04-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2005-05,6347,monthly,222892,438499,279967,214853,182733,2005-05-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2005-06,7438,monthly,224375,439361,281648,216595,183905,2005-06-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2005-07,8105,monthly,225071,441096,282815,217129,184448,2005-07-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2005-08,7906,monthly,224920,441299,282589,216646,183923,2005-08-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2005-09,8082,monthly,225269,444062,283459,217066,183846,2005-09-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2005-10,7546,monthly,224778,442319,282162,216709,183664,2005-10-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2005-11,7757,monthly,224807,441132,282307,217537,183744,2005-11-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2005-12,7925,monthly,224487,436835,280646,217176,184253,2005-12-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-01,6403,monthly,225564,440253,282156,218338,184897,2006-01-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-02,6533,monthly,226449,441328,282685,219217,185886,2006-02-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-03,8395,monthly,227024,446054,284626,219954,185509,2006-03-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-04,6939,monthly,228292,446271,286047,221546,186491,2006-04-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-05,7983,monthly,229832,449499,288163,223136,187586,2006-05-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-06,9661,monthly,232407,453124,290944,225825,189816,2006-06-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-07,9586,monthly,234615,458627,293834,228354,191193,2006-07-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-08,10284,monthly,237235,464609,297378,231455,192742,2006-08-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-09,9362,monthly,239230,470266,300229,233288,194191,2006-09-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-10,9383,monthly,240654,473606,301943,234233,195677,2006-10-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-11,9340,monthly,241641,475812,303267,235209,196416,2006-11-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-12,9364,monthly,243622,478141,305184,237391,198163,2006-12-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2007-01,7583,monthly,245738,482323,307718,239806,199659,2007-01-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2007-02,7483,monthly,248592,487499,310660,241893,202711,2007-02-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2007-03,8851,monthly,250448,492444,313347,243989,203775,2007-03-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2007-04,7630,monthly,253408,497410,316677,247149,206180,2007-04-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2007-05,8755,monthly,256399,501671,320170,250669,208386,2007-05-01
