"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2004-01,475,monthly,74958,185001,102077,68738,58908,2004-01-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2004-02,353,monthly,72987,176423,98056,66892,57702,2004-02-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2004-03,556,monthly,71779,171729,96250,65796,56842,2004-03-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2004-04,689,monthly,73893,169698,98683,68068,58746,2004-04-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2004-05,642,monthly,78875,178331,105480,72817,62750,2004-05-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2004-06,660,monthly,83738,186955,111429,77303,66800,2004-06-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2004-07,784,monthly,86444,197224,115458,79769,68724,2004-07-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2004-08,725,monthly,87983,204117,117829,81279,69718,2004-08-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2004-09,676,monthly,87076,203891,117161,80560,68794,2004-09-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2004-10,652,monthly,85868,200523,115025,79284,67992,2004-10-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2004-11,628,monthly,84099,195828,112752,77696,66585,2004-11-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2004-12,516,monthly,87315,201222,116540,80617,69316,2004-12-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2005-01,492,monthly,86233,199015,114839,79773,68412,2005-01-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2005-02,353,monthly,86077,197540,113830,79533,68404,2005-02-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2005-03,536,monthly,83327,189921,109103,76900,66163,2005-03-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2005-04,610,monthly,87794,194635,113334,80679,69960,2005-04-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2005-05,537,monthly,92517,202318,118199,84658,73920,2005-05-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2005-06,630,monthly,98351,213743,125194,89982,78629,2005-06-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2005-07,769,monthly,100180,218912,128047,91894,79985,2005-07-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2005-08,667,monthly,102008,223317,130478,93796,81375,2005-08-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2005-09,710,monthly,102756,227421,132036,94645,81862,2005-09-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2005-10,654,monthly,102734,229365,131974,94576,81829,2005-10-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2005-11,659,monthly,101386,224940,129824,93258,80819,2005-11-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2005-12,614,monthly,101656,221840,128563,92882,81338,2005-12-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2006-01,468,monthly,101970,221959,129134,93487,81508,2006-01-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2006-02,351,monthly,104052,224742,131419,95383,83190,2006-02-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2006-03,565,monthly,104618,225895,133067,96627,83378,2006-03-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2006-04,553,monthly,108956,230978,137542,100471,86976,2006-04-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2006-05,625,monthly,113311,238547,142672,104337,90525,2006-05-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2006-06,815,monthly,117822,245220,147234,108071,94318,2006-06-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2006-07,794,monthly,120849,252599,151284,111260,96617,2006-07-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2006-08,774,monthly,122286,259699,154494,113492,97439,2006-08-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2006-09,756,monthly,126447,273298,161265,118032,100463,2006-09-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2006-10,677,monthly,126307,272862,160774,117555,100447,2006-10-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2006-11,716,monthly,130044,278455,164890,120702,103554,2006-11-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2006-12,618,monthly,132354,279863,166334,122267,105636,2006-12-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2007-01,448,monthly,136322,289320,171794,126174,108710,2007-01-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2007-02,359,monthly,139226,294949,174712,128431,111231,2007-02-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2007-03,541,monthly,141749,299655,178168,131172,113202,2007-03-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2007-04,548,monthly,147324,307340,183942,136203,117840,2007-04-01
Aberdeen,http://landregistry.data.gov.uk/id/region/city-of-aberdeen,S12000033,2007-05,593,monthly,152714,317356,190328,141428,122122,2007-05-01
