"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Brighton,http://landregistry.data.gov.uk/id/region/brighton-and-hove,E06000043,2004-01,625,monthly,181878,323023,203973,181060,160303,2004-01-01
Brighton,http://landregistry.data.gov.uk/id/region/brighton-and-hove,E06000043,2004-02,600,monthly,181052,321130,203146,180621,159373,2004-02-01
Brighton,http://landregistry.data.gov.uk/id/region/brighton-and-hove,E06000043,2004-03,636,monthly,181711,322649,203490,181561,159853,2004-03-01
Brighton,http://landregistry.data.gov.uk/id/region/brighton-and-hove,E06000043,2004-04,715,monthly,185217,324977,206938,185718,163074,2004-04-01
Brighton,http://landregistry.data.gov.uk/id/region/brighton-and-hove,E06000043,2004-05,668,monthly,189162,328375,210898,190217,166700,2004-05-01
Brighton,http://landregistry.data.gov.uk/id/region/brighton-and-hove,E06000043,2004-06,718,monthly,192236,331560,214611,193663,169358,2004-06-01
Brighton,http://landregistry.data.gov.uk/id/region/brighton-and-hove,E06000043,2004-07,797,monthly,194530,336196,217978,196213,171026,2004-07-01
Brighton,http://landregistry.data.gov.uk/id/region/brighton-and-hove,E06000043,2004-08,699,monthly,198264,343897,222406,199948,174163,2004-08-01
Brighton,http://landregistry.data.gov.uk/id/region/brighton-and-hove,E06000043,2004-09,570,monthly,200314,349978,225606,202217,175453,2004-09-01
Brighton,http://landregistry.data.gov.uk/id/region/brighton-and-hove,E06000043,2004-10,513,monthly,202403,353021,227091,203808,177767,2004-10-01
Brighton,http://landregistry.data.gov.uk/id/region/brighton-and-hove,E06000043,2004-11,428,monthly,200678,349662,225156,201822,176390,2004-11-01
Brighton,http://landregistry.data.gov.uk/id/region/brighton-and-hove,E06000043,2004-12,473,monthly,203414,351879,227358,204251,179351,2004-12-01
Brighton,http://landregistry.data.gov.uk/id/region/brighton-and-hove,E06000043,2005-01,344,monthly,201619,348372,224860,202847,177746,2005-01-01
Brighton,http://landregistry.data.gov.uk/id/region/brighton-and-hove,E06000043,2005-02,375,monthly,201304,347655,224983,202892,177179,2005-02-01
Brighton,http://landregistry.data.gov.uk/id/region/brighton-and-hove,E06000043,2005-03,401,monthly,200261,345866,224159,202075,176073,2005-03-01
