"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2004-01,282,monthly,329660,1020764,666539,444352,305598,2004-01-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2004-02,274,monthly,332300,1031405,674818,449283,307818,2004-02-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2004-03,321,monthly,339717,1058758,689302,460566,314518,2004-03-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2004-04,346,monthly,336670,1041887,683702,458556,311556,2004-04-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2004-05,304,monthly,343102,1046065,691137,467412,317735,2004-05-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2004-06,396,monthly,354540,1072826,713741,482669,328411,2004-06-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2004-07,409,monthly,368811,1118918,744778,502827,341497,2004-07-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2004-08,384,monthly,370139,1134371,752316,505320,342482,2004-08-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2004-09,310,monthly,364530,1125757,744474,498770,337064,2004-09-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2004-10,267,monthly,361902,1110054,731905,491656,335139,2004-10-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2004-11,254,monthly,364408,1110549,731840,493224,337779,2004-11-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2004-12,213,monthly,356394,1073023,708574,479683,330827,2004-12-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2005-01,228,monthly,345132,1041597,688872,467001,320093,2005-01-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2005-02,198,monthly,341746,1040001,689929,464520,316526,2005-02-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2005-03,216,monthly,348785,1065909,707883,476077,322798,2005-03-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2005-04,257,monthly,359728,1093930,730156,491079,332935,2005-04-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2005-05,260,monthly,369411,1109634,741889,503105,342322,2005-05-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2005-06,317,monthly,379377,1139248,764706,519046,351224,2005-06-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2005-07,316,monthly,380976,1147095,770559,522170,352513,2005-07-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2005-08,295,monthly,391166,1185999,794535,537794,361634,2005-08-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2005-09,336,monthly,386496,1180379,786740,531425,357228,2005-09-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2005-10,299,monthly,383714,1170183,777427,526350,354907,2005-10-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2005-11,301,monthly,366351,1111701,740177,502204,338969,2005-11-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2005-12,296,monthly,367259,1100380,735979,501522,340251,2005-12-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2006-01,313,monthly,368710,1108776,742521,506171,341192,2006-01-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2006-02,267,monthly,373670,1125872,755598,514402,345523,2006-02-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2006-03,361,monthly,377340,1147893,768252,522120,348421,2006-03-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2006-04,310,monthly,382933,1162100,778986,530131,353589,2006-04-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2006-05,328,monthly,389596,1188060,794780,539453,359648,2006-05-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2006-06,360,monthly,392849,1201142,804259,544302,362536,2006-06-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2006-07,384,monthly,400432,1228659,824058,557873,369106,2006-07-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2006-08,429,monthly,406666,1245581,837157,569393,374570,2006-08-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2006-09,391,monthly,406025,1249379,838886,570769,373649,2006-09-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2006-10,342,monthly,403221,1240251,829717,564062,371423,2006-10-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2006-11,331,monthly,407617,1253495,838087,569226,375588,2006-11-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2006-12,340,monthly,428775,1319982,882300,598808,395056,2006-12-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2007-01,297,monthly,433901,1338356,895662,607069,399592,2007-01-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2007-02,283,monthly,441611,1364236,911742,615535,406823,2007-02-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2007-03,327,monthly,439974,1360069,908168,613919,405292,2007-03-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2007-04,265,monthly,451966,1397770,936266,633844,416029,2007-04-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2007-05,310,monthly,441267,1359939,914550,621591,405968,2007-05-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2007-06,330,monthly,454121,1396256,942349,639785,417780,2007-06-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2007-07,340,monthly,466114,1440859,973122,658210,428572,2007-07-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2007-08,368,monthly,490494,1528753,1028660,696253,450584,2007-08-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2007-09,300,monthly,499913,1567756,1056231,710792,458986,2007-09-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2007-10,303,monthly,500648,1565084,1047352,707364,460199,2007-10-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2007-11,267,monthly,495249,1552039,1038836,696592,455426,2007-11-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2007-12,240,monthly,482569,1499382,1001279,675443,444249,2007-12-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2008-01,217,monthly,486659,1524930,1013931,681885,447847,2008-01-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2008-02,189,monthly,505472,1582871,1051085,708105,465232,2008-02-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2008-03,162,monthly,510059,1611569,1061686,716843,469219,2008-03-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2008-04,162,monthly,510072,1621432,1060866,719558,468983,2008-04-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2008-05,206,monthly,505894,1614188,1060870,718717,464573,2008-05-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2008-06,237,monthly,506171,1612997,1071167,722590,464409,2008-06-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2008-07,200,monthly,521992,1665611,1114964,747005,478592,2008-07-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2008-08,164,monthly,525296,1674924,1125621,752052,481544,2008-08-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2008-09,159,monthly,515019,1650113,1099416,735126,472309,2008-09-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2008-10,117,monthly,498394,1582840,1055154,707352,457607,2008-10-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2008-11,117,monthly,472362,1506602,995391,668214,433906,2008-11-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2008-12,122,monthly,457290,1454467,965821,648070,419961,2008-12-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2009-01,96,monthly,446897,1425528,948769,633361,410301,2009-01-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2009-02,89,monthly,453141,1434916,961553,642403,416062,2009-02-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2009-03,118,monthly,465563,1465298,986495,659308,427595,2009-03-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2009-04,125,monthly,451643,1395314,953524,642354,414840,2009-04-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2009-05,157,monthly,442606,1364800,935243,633114,406209,2009-05-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2009-06,181,monthly,434898,1341278,921998,627008,398612,2009-06-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2009-07,224,monthly,451204,1411632,967250,656518,412610,2009-07-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2009-08,214,monthly,467171,1476540,1008198,682589,426691,2009-08-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2009-09,251,monthly,475211,1511385,1030936,696524,433644,2009-09-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2009-10,241,monthly,471298,1511947,1025639,690865,429896,2009-10-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2009-11,212,monthly,449490,1443647,976330,661061,409839,2009-11-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2009-12,278,monthly,446413,1431681,969442,656735,407036,2009-12-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2010-01,210,monthly,454547,1454304,989161,673978,413968,2010-01-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2010-02,185,monthly,480598,1553863,1060628,716537,436957,2010-02-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2010-03,218,monthly,498893,1626835,1104072,746064,453230,2010-03-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2010-04,163,monthly,499767,1631997,1108830,745798,454094,2010-04-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2010-05,181,monthly,490244,1598554,1083636,729803,445692,2010-05-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2010-06,231,monthly,492592,1610530,1094738,735529,447487,2010-06-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2010-07,304,monthly,524202,1749888,1182309,791377,474914,2010-07-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2010-08,273,monthly,549963,1828511,1246941,833946,497845,2010-08-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2010-09,270,monthly,550372,1845553,1254376,838761,497636,2010-09-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2010-10,228,monthly,540612,1790589,1222037,820057,489457,2010-10-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2010-11,249,monthly,532976,1772967,1202857,806606,482700,2010-11-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2010-12,221,monthly,543887,1809293,1228287,821549,492702,2010-12-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2011-01,221,monthly,540301,1836353,1228677,818445,488877,2011-01-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2011-02,177,monthly,542726,1883285,1238735,823862,490632,2011-02-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2011-03,190,monthly,547549,1939097,1258063,834305,494353,2011-03-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2011-04,212,monthly,556409,1958517,1272286,846973,502602,2011-04-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2011-05,162,monthly,544622,1859388,1227746,824779,493002,2011-05-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2011-06,227,monthly,545294,1801903,1213551,821240,494643,2011-06-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2011-07,256,monthly,547387,1785105,1213853,822765,496904,2011-07-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2011-08,263,monthly,563690,1877910,1271695,856647,510210,2011-08-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2011-09,267,monthly,576482,1963862,1316021,882709,520657,2011-09-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2011-10,249,monthly,573535,1973093,1318583,880614,517498,2011-10-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2011-11,204,monthly,567064,1955363,1300404,865613,512160,2011-11-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2011-12,192,monthly,547657,1846778,1244512,830052,495616,2011-12-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2012-01,174,monthly,548416,1835383,1248948,834291,496051,2012-01-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2012-02,165,monthly,550841,1847778,1262110,843957,497573,2012-02-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2012-03,210,monthly,568979,1924554,1308768,873651,513546,2012-03-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2012-04,153,monthly,574962,1941567,1314632,880252,519304,2012-04-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2012-05,198,monthly,575996,1920541,1305292,877818,520861,2012-05-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2012-06,204,monthly,575350,1915007,1305909,882666,519779,2012-06-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2012-07,259,monthly,600406,2010236,1374804,925270,541826,2012-07-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2012-08,245,monthly,614424,2063036,1416896,953558,553741,2012-08-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2012-09,224,monthly,613483,2070542,1414784,951793,552873,2012-09-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2012-10,172,monthly,594506,1998414,1363870,920895,536042,2012-10-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2012-11,211,monthly,596278,2009783,1365775,923109,537697,2012-11-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2012-12,198,monthly,620351,2084447,1423186,960706,559365,2012-12-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2013-01,235,monthly,627541,2133943,1454217,975444,565215,2013-01-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2013-02,156,monthly,651998,2228524,1513292,1011865,587278,2013-02-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2013-03,169,monthly,635099,2178883,1473594,982585,572282,2013-03-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2013-04,214,monthly,649540,2218238,1500286,1004434,585469,2013-04-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2013-05,253,monthly,651476,2223369,1505219,1007810,587180,2013-05-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2013-06,213,monthly,671439,2299166,1561961,1044916,604444,2013-06-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2013-07,318,monthly,685330,2342602,1596660,1070407,616593,2013-07-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2013-08,289,monthly,707359,2419357,1653910,1109715,635894,2013-08-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2013-09,282,monthly,705755,2421892,1646833,1105441,634617,2013-09-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2013-10,243,monthly,689918,2360895,1600127,1074264,621100,2013-10-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2013-11,263,monthly,662701,2255653,1525315,1026256,597301,2013-11-01
