"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2004-01,220,monthly,155955,273507,172561,137738,123973,2004-01-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2004-02,253,monthly,160477,281003,177441,141995,127477,2004-02-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2004-03,283,monthly,161304,282895,178162,143057,127755,2004-03-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2004-04,338,monthly,162671,282351,179562,144987,128912,2004-04-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2004-05,297,monthly,161506,277441,178033,144535,128277,2004-05-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2004-06,398,monthly,165250,281807,182121,148160,131511,2004-06-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2004-07,350,monthly,169796,289478,187546,152242,134870,2004-07-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2004-08,278,monthly,176615,302007,195203,158359,139979,2004-08-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2004-09,274,monthly,176318,302894,195259,157968,139269,2004-09-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2004-10,237,monthly,177156,304035,195600,158586,140518,2004-10-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2004-11,205,monthly,173571,297564,191543,155223,137964,2004-11-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2004-12,225,monthly,174211,297039,191790,155991,138987,2004-12-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2005-01,131,monthly,174520,297611,191719,156530,139243,2005-01-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2005-02,140,monthly,179508,306039,197347,161085,143007,2005-02-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2005-03,173,monthly,180457,307830,198610,162027,143456,2005-03-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2005-04,203,monthly,179990,305579,198619,161874,142767,2005-04-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2005-05,184,monthly,177776,301133,195898,160166,141124,2005-05-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2005-06,221,monthly,181017,305366,199271,163467,143792,2005-06-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2005-07,308,monthly,183439,310272,202046,165574,145508,2005-07-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2005-08,302,monthly,182142,308740,200536,164622,144172,2005-08-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2005-09,246,monthly,178898,304787,197043,161640,141210,2005-09-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2005-10,225,monthly,176941,301100,194462,159907,140054,2005-10-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2005-11,269,monthly,177005,300467,194784,159858,140190,2005-11-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2005-12,265,monthly,183649,309697,201682,165941,146206,2005-12-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2006-01,224,monthly,187827,317074,206187,170190,149063,2006-01-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2006-02,218,monthly,193314,325545,211800,175404,153618,2006-02-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2006-03,264,monthly,190788,322587,209610,173312,150630,2006-03-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2006-04,252,monthly,189850,319849,208787,172527,149923,2006-04-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2006-05,290,monthly,189516,319605,208651,172133,149516,2006-05-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2006-06,316,monthly,187995,316112,206836,170869,148498,2006-06-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2006-07,356,monthly,190037,320172,208982,173029,149793,2006-07-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2006-08,323,monthly,191770,323559,210811,175107,150690,2006-08-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2006-09,321,monthly,198009,335379,217683,180832,155298,2006-09-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2006-10,341,monthly,197234,334156,216748,179885,154932,2006-10-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2006-11,306,monthly,198223,335924,218047,180620,155687,2006-11-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2006-12,320,monthly,197447,333141,216932,180134,155363,2006-12-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2007-01,248,monthly,196710,332388,216259,179544,154524,2007-01-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2007-02,214,monthly,200040,337651,219612,182371,157531,2007-02-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2007-03,303,monthly,201775,341544,221772,184022,158453,2007-03-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2007-04,240,monthly,208289,351281,228633,190354,163665,2007-04-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2007-05,264,monthly,204439,343675,224272,187289,160561,2007-05-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2007-06,361,monthly,203707,341943,223236,186743,160114,2007-06-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2007-07,282,monthly,202766,342001,222418,185857,158988,2007-07-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2007-08,334,monthly,207006,351419,227453,190014,161492,2007-08-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2007-09,280,monthly,210843,359562,231783,193327,164299,2007-09-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2007-10,261,monthly,209902,358015,230368,192287,163916,2007-10-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2007-11,243,monthly,210325,359168,230662,192153,164673,2007-11-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2007-12,223,monthly,209564,356967,229640,191495,164312,2007-12-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2008-01,140,monthly,204661,349719,224449,186741,160384,2008-01-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2008-02,147,monthly,201023,343628,220741,183555,157259,2008-02-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2008-03,143,monthly,197103,337902,217071,180243,153496,2008-03-01
Cheltenham,http://landregistry.data.gov.uk/id/region/cheltenham,E07000078,2008-04,131,monthly,199860,342619,220400,183380,155014,2008-04-01
