"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2004-01,333,monthly,150360,245575,153128,120947,101725,2004-01-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2004-02,349,monthly,152445,247816,155114,123068,103427,2004-02-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2004-03,371,monthly,154924,251696,157357,125296,104993,2004-03-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2004-04,378,monthly,157105,253052,159774,127808,106610,2004-04-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2004-05,403,monthly,159685,255311,162344,130508,108781,2004-05-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2004-06,513,monthly,161814,256983,164617,132567,110714,2004-06-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2004-07,464,monthly,163190,259039,166207,133753,111476,2004-07-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2004-08,414,monthly,164155,261089,167261,134523,111804,2004-08-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2004-09,344,monthly,164830,263130,168040,135040,111681,2004-09-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2004-10,331,monthly,165654,264165,168476,135733,112770,2004-10-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2004-11,307,monthly,168134,267685,170779,137796,114881,2004-11-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2004-12,273,monthly,167770,265516,170089,137882,115403,2004-12-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2005-01,167,monthly,166901,263758,168916,137408,115043,2005-01-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2005-02,219,monthly,166472,262309,168693,137185,114827,2005-02-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2005-03,234,monthly,168285,265289,170795,138773,115645,2005-03-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2005-04,341,monthly,169219,265510,172226,139930,116084,2005-04-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2005-05,286,monthly,169596,266142,172337,140465,116324,2005-05-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2005-06,418,monthly,171100,267383,173767,142111,117575,2005-06-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2005-07,363,monthly,171713,268859,174332,142537,117877,2005-07-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2005-08,352,monthly,171605,268904,174130,142607,117614,2005-08-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2005-09,399,monthly,170476,267937,172858,141664,116560,2005-09-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2005-10,300,monthly,170918,268420,172950,142167,117130,2005-10-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2005-11,383,monthly,171283,268424,173398,142600,117454,2005-11-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2005-12,462,monthly,173822,271084,175690,144828,119971,2005-12-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2006-01,260,monthly,175809,274085,177707,146749,121110,2006-01-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2006-02,321,monthly,177344,275510,178999,148118,122571,2006-02-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2006-03,380,monthly,178142,277662,180079,148800,122364,2006-03-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2006-04,323,monthly,179215,278657,181313,149804,123169,2006-04-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2006-05,408,monthly,179693,279792,182077,150232,123150,2006-05-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2006-06,521,monthly,179917,279204,182435,150658,123386,2006-06-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2006-07,401,monthly,179685,279139,182236,150838,122843,2006-07-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2006-08,484,monthly,181213,282194,183936,152596,123218,2006-08-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2006-09,474,monthly,181318,283645,184154,152682,122760,2006-09-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2006-10,396,monthly,183817,287861,186618,154599,124517,2006-10-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2006-11,423,monthly,184165,288355,187079,154816,124754,2006-11-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2006-12,519,monthly,187990,292913,190792,158351,127749,2006-12-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2007-01,360,monthly,188929,294293,191811,159269,128285,2007-01-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2007-02,332,monthly,189554,294497,192182,159618,129255,2007-02-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2007-03,400,monthly,188271,292927,191080,158701,127980,2007-03-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2007-04,402,monthly,188430,292392,191269,159290,128040,2007-04-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2007-05,423,monthly,191111,295774,193964,162080,129801,2007-05-01
Colchester,http://landregistry.data.gov.uk/id/region/colchester,E07000071,2007-06,551,monthly,193293,298941,195986,164035,131403,2007-06-01
