"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2004-01,556,monthly,190401,385014,241617,172477,154960,2004-01-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2004-02,575,monthly,190354,383836,241317,172706,154870,2004-02-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2004-03,647,monthly,192275,387792,243249,174524,156493,2004-03-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2004-04,692,monthly,194279,387327,245268,176898,158233,2004-04-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2004-05,611,monthly,196513,387155,247243,179296,160464,2004-05-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2004-06,696,monthly,199033,388729,250153,181777,162781,2004-06-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2004-07,788,monthly,200128,390761,252094,183007,163294,2004-07-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2004-08,674,monthly,201797,395642,254366,184617,164367,2004-08-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2004-09,657,monthly,202307,399361,255862,185327,164009,2004-09-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2004-10,640,monthly,204325,402502,257408,187130,166104,2004-10-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2004-11,548,monthly,205519,404000,258592,188304,167196,2004-11-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2004-12,502,monthly,206133,401947,258266,189116,168168,2004-12-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2005-01,373,monthly,206825,403208,258636,189815,168854,2005-01-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2005-02,343,monthly,204754,398943,256455,187995,166973,2005-02-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2005-03,438,monthly,204802,399743,257004,188276,166545,2005-03-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2005-04,465,monthly,202976,394690,255472,187195,164383,2005-04-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2005-05,513,monthly,204439,396696,256738,188789,165615,2005-05-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2005-06,537,monthly,203802,393179,255495,188524,165168,2005-06-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2005-07,597,monthly,204598,395705,256641,189211,165715,2005-07-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2005-08,604,monthly,203256,393795,254956,188314,164245,2005-08-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2005-09,642,monthly,203882,397384,256215,189081,164190,2005-09-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2005-10,571,monthly,204015,397073,255837,189320,164428,2005-10-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2005-11,617,monthly,204773,397969,257118,190209,164810,2005-11-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2005-12,547,monthly,204766,395106,256186,190104,165483,2005-12-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2006-01,467,monthly,204536,395053,255800,190033,165164,2006-01-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2006-02,556,monthly,207312,399175,258792,192497,167812,2006-02-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2006-03,663,monthly,208650,403786,261296,194157,168053,2006-03-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2006-04,496,monthly,209106,402757,261867,194811,168420,2006-04-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2006-05,598,monthly,208380,401588,261130,194240,167654,2006-05-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2006-06,741,monthly,209865,402933,262801,195748,168969,2006-06-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2006-07,725,monthly,212185,408668,266002,198095,170438,2006-07-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2006-08,816,monthly,214493,413927,268993,200640,171829,2006-08-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2006-09,715,monthly,216165,419458,271384,201866,173113,2006-09-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2006-10,785,monthly,216699,420576,271806,202250,173721,2006-10-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2006-11,760,monthly,218396,424002,274219,203773,175019,2006-11-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2006-12,723,monthly,219548,424072,275232,205200,176020,2006-12-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2007-01,599,monthly,222691,431120,279480,208233,178243,2007-01-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2007-02,587,monthly,223464,432226,279984,208496,179378,2007-02-01
