"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2004-01,231,monthly,123626,207063,133227,96102,83851,2004-01-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2004-02,247,monthly,124239,207094,133688,96863,84576,2004-02-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2004-03,229,monthly,124012,206966,133205,96819,84164,2004-03-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2004-04,318,monthly,126608,209000,136109,99445,85897,2004-04-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2004-05,275,monthly,129728,212171,139373,102478,88166,2004-05-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2004-06,300,monthly,132286,214657,142173,104799,90214,2004-06-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2004-07,335,monthly,132893,215285,142964,105392,90415,2004-07-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2004-08,259,monthly,134927,218873,145242,106984,91541,2004-08-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2004-09,217,monthly,138409,224958,148930,109846,93561,2004-09-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2004-10,241,monthly,142297,231125,152733,112902,96889,2004-10-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2004-11,168,monthly,143833,233287,154110,114183,98415,2004-11-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2004-12,209,monthly,143178,231208,153167,113876,98519,2004-12-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2005-01,184,monthly,142515,229998,152235,113493,98208,2005-01-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2005-02,173,monthly,141095,227306,150828,112314,97364,2005-02-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2005-03,203,monthly,139855,225387,149579,111284,96368,2005-03-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2005-04,215,monthly,139140,223020,148909,110897,95957,2005-04-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2005-05,214,monthly,140064,224403,149642,111863,96540,2005-05-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2005-06,228,monthly,141059,224394,150581,113094,97302,2005-06-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2005-07,279,monthly,140658,224043,150205,112863,96630,2005-07-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2005-08,200,monthly,140176,223216,149589,112661,96098,2005-08-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2005-09,192,monthly,140871,225138,150152,113250,96370,2005-09-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2005-10,228,monthly,140876,224725,149700,113414,96922,2005-10-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2005-11,239,monthly,141561,225299,150351,114034,97617,2005-11-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2005-12,217,monthly,142091,225087,150671,114557,98671,2005-12-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2006-01,233,monthly,144579,229306,153252,116733,100001,2006-01-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2006-02,220,monthly,146049,231040,154588,118061,101301,2006-02-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2006-03,285,monthly,146487,232580,155214,118378,101009,2006-03-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2006-04,252,monthly,145767,230454,154614,117921,100581,2006-04-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2006-05,310,monthly,146169,230947,155259,118260,100615,2006-05-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2006-06,371,monthly,147092,231331,156322,119234,101313,2006-06-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2006-07,311,monthly,148217,233283,157388,120442,101726,2006-07-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2006-08,340,monthly,150277,236919,159539,122452,102493,2006-08-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2006-09,301,monthly,152766,241785,162210,124485,103694,2006-09-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2006-10,354,monthly,154769,245034,164295,125966,105297,2006-10-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2006-11,345,monthly,154724,244848,164289,125907,105299,2006-11-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2006-12,377,monthly,155856,245324,165339,127083,106512,2006-12-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2007-01,244,monthly,156153,245788,165617,127442,106591,2007-01-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2007-02,227,monthly,159171,250202,168691,129784,109157,2007-02-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2007-03,269,monthly,159731,251684,169285,130313,109119,2007-03-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2007-04,251,monthly,163409,256481,173201,133606,111603,2007-04-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2007-05,297,monthly,164751,257493,174529,135086,112542,2007-05-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2007-06,369,monthly,167017,260457,176778,137062,114365,2007-06-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2007-07,227,monthly,167528,262067,177211,137480,114500,2007-07-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2007-08,328,monthly,169008,265970,178841,138799,114565,2007-08-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2007-09,241,monthly,168880,266523,178673,138608,114318,2007-09-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2007-10,247,monthly,166326,262823,175773,136404,112867,2007-10-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2007-11,264,monthly,163946,258904,173245,134163,111777,2007-11-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2007-12,210,monthly,163981,258633,173246,134141,112072,2007-12-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2008-01,136,monthly,165657,261649,174999,135396,113256,2008-01-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2008-02,172,monthly,165194,261492,174400,135032,112764,2008-02-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2008-03,161,monthly,161771,257236,171007,132219,109537,2008-03-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2008-04,149,monthly,159257,254058,168336,130282,107178,2008-04-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2008-05,172,monthly,159352,253450,168682,130527,106971,2008-05-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2008-06,149,monthly,158830,251930,168144,130186,106824,2008-06-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2008-07,106,monthly,154783,244816,164163,126817,104100,2008-07-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2008-08,118,monthly,148866,235972,157750,121860,100253,2008-08-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2008-09,107,monthly,144515,231092,152850,117995,97221,2008-09-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2008-10,116,monthly,139586,224022,147457,113776,94100,2008-10-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2008-11,111,monthly,140021,224936,148023,113988,94366,2008-11-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2008-12,107,monthly,136464,217859,144466,111304,92010,2008-12-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2009-01,67,monthly,137201,219407,145250,111765,92556,2009-01-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2009-02,82,monthly,132307,211962,140024,107682,89306,2009-02-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2009-03,125,monthly,132021,212235,139591,107242,89372,2009-03-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2009-04,85,monthly,130338,208667,138022,106093,87971,2009-04-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2009-05,158,monthly,129203,206511,136972,105362,86744,2009-05-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2009-06,158,monthly,129853,207396,137887,106082,86452,2009-06-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2009-07,161,monthly,129917,207780,138071,106238,85863,2009-07-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2009-08,147,monthly,133188,213506,141549,109068,87374,2009-08-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2009-09,159,monthly,134724,216214,143227,110345,88086,2009-09-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2009-10,197,monthly,135644,217803,144390,111052,88335,2009-10-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2009-11,195,monthly,131182,210972,139564,107426,85304,2009-11-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2009-12,230,monthly,132371,211942,141046,108628,85854,2009-12-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2010-01,115,monthly,130172,209336,138747,106824,83735,2010-01-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2010-02,121,monthly,134620,216244,143761,110334,86308,2010-02-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2010-03,186,monthly,131444,212416,140116,107344,84258,2010-03-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2010-04,139,monthly,137264,220884,146282,112077,88522,2010-04-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2010-05,188,monthly,139958,225070,149108,114322,90335,2010-05-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2010-06,181,monthly,143553,230332,153158,117539,92245,2010-06-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2010-07,145,monthly,144144,232188,153779,117966,92267,2010-07-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2010-08,144,monthly,143549,232435,153380,117215,91327,2010-08-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2010-09,160,monthly,144230,234782,154008,117625,91476,2010-09-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2010-10,190,monthly,147355,240133,157308,120062,93521,2010-10-01
Gloucester,http://landregistry.data.gov.uk/id/region/gloucester,E07000081,2010-11,190,monthly,149976,244824,159812,122083,95523,2010-11-01
