"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2004-01,317,monthly,243354,536421,289118,225558,189209,2004-01-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2004-02,283,monthly,245389,540890,291295,227758,190817,2004-02-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2004-03,344,monthly,243904,539657,289291,226756,189476,2004-03-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2004-04,362,monthly,243283,533846,288157,227122,189150,2004-04-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2004-05,345,monthly,247296,535054,292162,231625,193048,2004-05-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2004-06,416,monthly,254110,545155,299886,238179,198912,2004-06-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2004-07,431,monthly,257768,552241,304833,241675,201400,2004-07-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2004-08,348,monthly,259562,561160,307047,243255,202335,2004-08-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2004-09,305,monthly,256244,556827,303811,240097,199059,2004-09-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2004-10,287,monthly,258933,562294,305840,242454,202024,2004-10-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2004-11,266,monthly,256766,555367,302953,240599,200657,2004-11-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2004-12,297,monthly,260893,560937,307140,244981,204370,2004-12-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2005-01,158,monthly,257111,554483,302372,241705,201322,2005-01-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2005-02,190,monthly,257059,557359,302588,241605,200873,2005-02-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2005-03,254,monthly,251164,547164,295686,236373,195836,2005-03-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2005-04,247,monthly,252761,549462,297954,238414,196638,2005-04-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2005-05,237,monthly,252667,545042,297518,238890,196846,2005-05-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2005-06,273,monthly,255996,549632,300940,242565,199704,2005-06-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2005-07,293,monthly,257427,552263,302959,244098,200549,2005-07-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2005-08,356,monthly,257613,554306,303146,244645,200349,2005-08-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2005-09,304,monthly,257170,556129,303389,244272,199229,2005-09-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2005-10,315,monthly,256085,552734,301530,243236,198855,2005-10-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2005-11,316,monthly,255039,548873,300515,242406,197965,2005-11-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2005-12,340,monthly,253900,542025,298112,241348,198162,2005-12-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2006-01,242,monthly,253829,544677,298057,241544,197678,2006-01-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2006-02,295,monthly,255883,549446,299890,243250,199721,2006-02-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2006-03,365,monthly,258052,558155,303238,245561,200364,2006-03-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2006-04,317,monthly,259436,558548,304703,247147,201629,2006-04-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2006-05,360,monthly,262515,566266,308450,250161,203798,2006-05-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2006-06,391,monthly,263327,568013,309211,251033,204486,2006-06-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2006-07,371,monthly,264668,572319,311318,252687,204888,2006-07-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2006-08,413,monthly,266525,577173,313910,255252,205584,2006-08-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2006-09,399,monthly,271094,589262,319854,259429,208690,2006-09-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2006-10,403,monthly,275403,599067,324663,263242,212290,2006-10-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2006-11,369,monthly,276450,601388,326164,264035,213053,2006-11-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2006-12,370,monthly,278194,603210,327732,266019,214688,2006-12-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2007-01,293,monthly,280501,609764,330643,268276,216188,2007-01-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2007-02,352,monthly,282077,614177,331970,269109,217875,2007-02-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2007-03,343,monthly,281473,615940,331519,268804,216854,2007-03-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2007-04,301,monthly,285297,621874,335617,273189,219902,2007-04-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2007-05,328,monthly,288255,626144,338644,276753,222290,2007-05-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2007-06,362,monthly,292148,632950,342887,280404,225640,2007-06-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2007-07,358,monthly,292860,639601,344184,280785,225654,2007-07-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2007-08,428,monthly,297849,654428,351046,286266,228350,2007-08-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2007-09,323,monthly,303734,671572,358427,291516,232455,2007-09-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2007-10,365,monthly,305423,676222,359523,292802,234282,2007-10-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2007-11,296,monthly,307271,681882,361250,293461,236276,2007-11-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2007-12,235,monthly,305018,671870,358105,291365,235196,2007-12-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2008-01,238,monthly,305837,676340,359246,291855,235641,2008-01-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2008-02,220,monthly,304970,675064,358870,291215,234526,2008-02-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2008-03,180,monthly,304807,681077,359939,291714,233063,2008-03-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2008-04,221,monthly,307941,690620,364169,295553,234773,2008-04-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2008-05,199,monthly,306896,689939,362855,294911,233776,2008-05-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2008-06,249,monthly,303930,683722,358830,292119,231688,2008-06-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2008-07,161,monthly,298900,674134,353750,287124,227447,2008-07-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2008-08,169,monthly,293193,663735,347217,281709,222836,2008-08-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2008-09,131,monthly,288110,657418,341106,276283,218896,2008-09-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2008-10,147,monthly,283282,646354,334345,271153,215856,2008-10-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2008-11,113,monthly,271284,622078,320347,259646,206466,2008-11-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2008-12,124,monthly,266652,608056,315588,255943,202580,2008-12-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2009-01,101,monthly,260775,595054,309115,249957,198012,2009-01-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2009-02,87,monthly,262042,593648,310425,250316,199744,2009-02-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2009-03,94,monthly,258325,584144,305289,245772,197799,2009-03-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2009-04,114,monthly,253662,568491,300397,241971,193981,2009-04-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2009-05,112,monthly,253717,566511,300607,243059,193601,2009-05-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2009-06,158,monthly,254539,567688,302084,244875,193467,2009-06-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2009-07,218,monthly,258644,578223,307770,249712,195550,2009-07-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2009-08,197,monthly,265098,597692,316379,256477,199179,2009-08-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2009-09,200,monthly,271563,614979,325053,263119,203044,2009-09-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2009-10,195,monthly,271793,617758,325873,263482,202642,2009-10-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2009-11,203,monthly,271765,617118,325814,264450,202205,2009-11-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2009-12,253,monthly,274511,620268,329328,267798,204058,2009-12-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2010-01,127,monthly,279519,634654,336336,273562,206542,2010-01-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2010-02,154,monthly,281609,642540,340503,275590,206914,2010-02-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2010-03,184,monthly,285076,658427,345346,278605,208635,2010-03-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,2010-04,152,monthly,288144,663718,348917,281386,211252,2010-04-01
