"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2004-01,304,monthly,235488,450021,295574,215203,184955,2004-01-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2004-02,296,monthly,237659,453772,297902,217431,186659,2004-02-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2004-03,353,monthly,239521,457736,299673,219409,187963,2004-03-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2004-04,410,monthly,242238,458749,302526,222871,190192,2004-04-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2004-05,361,monthly,245145,458799,305506,226339,192796,2004-05-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2004-06,345,monthly,247341,459806,308189,228602,194685,2004-06-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2004-07,422,monthly,251907,468659,314701,232957,197907,2004-07-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2004-08,318,monthly,254989,477718,318758,235806,199993,2004-08-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2004-09,303,monthly,253122,477315,317385,234110,197933,2004-09-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2004-10,297,monthly,252908,475510,315657,233500,198560,2004-10-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2004-11,230,monthly,248400,465374,309784,229337,195239,2004-11-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2004-12,259,monthly,248371,461844,308538,229520,195829,2004-12-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2005-01,163,monthly,245040,456130,303988,226582,193253,2005-01-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2005-02,170,monthly,244935,457246,304399,226337,192915,2005-02-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2005-03,224,monthly,246080,460339,306167,227585,193547,2005-03-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2005-04,290,monthly,247395,461047,308495,229305,194275,2005-04-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2005-05,247,monthly,254013,471379,316041,235863,199740,2005-05-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2005-06,285,monthly,252876,467422,314335,235375,198892,2005-06-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2005-07,297,monthly,256554,475795,319698,239074,201264,2005-07-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2005-08,361,monthly,253237,471277,315793,236487,198256,2005-08-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2005-09,315,monthly,256960,481564,321233,240013,200581,2005-09-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2005-10,303,monthly,252041,471534,314140,235240,197223,2005-10-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2005-11,273,monthly,253615,473195,316379,236705,198456,2005-11-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2005-12,286,monthly,251130,464485,312076,234299,197327,2005-12-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2006-01,283,monthly,255200,473329,317349,238564,200166,2006-01-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2006-02,298,monthly,253180,469362,314226,236550,198981,2006-02-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2006-03,318,monthly,254284,475033,316642,238018,199007,2006-03-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2006-04,297,monthly,254843,474598,316898,238864,199643,2006-04-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2006-05,339,monthly,258061,481825,321105,242011,201885,2006-05-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2006-06,350,monthly,264705,493852,329110,248323,207200,2006-06-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2006-07,400,monthly,266619,498701,332369,250368,208070,2006-07-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2006-08,438,monthly,271132,507181,338417,255246,211111,2006-08-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2006-09,405,monthly,270980,508936,338800,254919,210617,2006-09-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2006-10,384,monthly,275061,516822,343481,258479,214078,2006-10-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2006-11,352,monthly,274154,515371,342522,257498,213329,2006-11-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2006-12,361,monthly,277785,520715,346321,261324,216440,2006-12-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,2007-01,262,monthly,278832,523309,348115,262293,216986,2007-01-01
