"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2004-01,1349,monthly,110810,201666,116081,86587,89709,2004-01-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2004-02,1200,monthly,112321,203527,117467,87988,90946,2004-02-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2004-03,1573,monthly,112889,204604,117747,88561,91251,2004-03-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2004-04,1745,monthly,116502,208850,121437,91884,94001,2004-04-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2004-05,1625,monthly,119963,212707,124790,95169,96786,2004-05-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2004-06,1782,monthly,124023,218074,128984,98694,100091,2004-06-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2004-07,1986,monthly,127224,223334,132493,101388,102175,2004-07-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2004-08,1445,monthly,130206,229277,135661,103833,104015,2004-08-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2004-09,1391,monthly,132208,233623,137831,105549,104858,2004-09-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2004-10,1326,monthly,132978,234952,138262,106131,106166,2004-10-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2004-11,1120,monthly,133968,236074,139104,106980,107379,2004-11-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2004-12,1242,monthly,134125,234940,138976,107281,108126,2004-12-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2005-01,764,monthly,134452,235295,138974,107668,108746,2005-01-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2005-02,831,monthly,135038,236125,139614,108053,109441,2005-02-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2005-03,964,monthly,136491,238683,141222,109154,110562,2005-03-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2005-04,1113,monthly,137048,238185,142049,109731,110817,2005-04-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2005-05,1205,monthly,136455,236550,141257,109514,110208,2005-05-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2005-06,1376,monthly,136609,235259,141234,110037,110221,2005-06-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2005-07,1484,monthly,138643,238933,143433,111792,111342,2005-07-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2005-08,1428,monthly,140919,242953,145700,113833,112762,2005-08-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2005-09,1349,monthly,142369,246366,147163,115090,113421,2005-09-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2005-10,1369,monthly,142627,246612,147064,115452,113923,2005-10-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2005-11,1256,monthly,142289,245408,146774,115212,113705,2005-11-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2005-12,1353,monthly,141621,242879,145835,114776,113859,2005-12-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2006-01,1263,monthly,142452,244386,146546,115629,114286,2006-01-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2006-02,1101,monthly,142874,244350,146683,116089,115022,2006-02-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2006-03,1533,monthly,144371,247718,148476,117292,115522,2006-03-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2006-04,1408,monthly,144763,247257,148998,117740,115799,2006-04-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2006-05,1634,monthly,146416,250186,150925,119102,116737,2006-05-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2006-06,1896,monthly,146554,249614,151048,119420,116750,2006-06-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2006-07,1781,monthly,148264,252876,152738,121131,117510,2006-07-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2006-08,1686,monthly,150027,256286,154569,122907,118127,2006-08-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2006-09,1695,monthly,151261,259330,155866,123974,118657,2006-09-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2006-10,1615,monthly,151489,260085,156125,123971,119035,2006-10-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2006-11,1737,monthly,151060,259389,155778,123590,118611,2006-11-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2006-12,1742,monthly,153513,262428,158165,125822,120697,2006-12-01
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2007-01,1244,monthly,153501,262360,158150,125972,120414,2007-01-01
