"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2004-01,486,monthly,144801,240869,140750,115164,91838,2004-01-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2004-02,494,monthly,142669,236443,138631,113713,90811,2004-02-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2004-03,566,monthly,143785,238410,139641,114601,91311,2004-03-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2004-04,612,monthly,144308,236806,140316,115809,91883,2004-04-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2004-05,555,monthly,147993,240853,143951,119456,94495,2004-05-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2004-06,607,monthly,151070,244138,147117,122368,96821,2004-06-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2004-07,662,monthly,154376,248985,150412,125177,98985,2004-07-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2004-08,572,monthly,153980,248498,150027,124833,98633,2004-08-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2004-09,509,monthly,155679,251776,151607,126162,99450,2004-09-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2004-10,472,monthly,156120,252459,151853,126499,100160,2004-10-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2004-11,403,monthly,159131,257141,154660,129016,102341,2004-11-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2004-12,422,monthly,158193,254350,153520,128679,102488,2004-12-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2005-01,326,monthly,157579,253564,152662,128339,102041,2005-01-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2005-02,320,monthly,154611,248555,149897,125987,100024,2005-02-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2005-03,363,monthly,155582,250220,151013,126745,100269,2005-03-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2005-04,416,monthly,156887,250951,152612,128069,101224,2005-04-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2005-05,456,monthly,159466,254694,154843,130384,103242,2005-05-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2005-06,472,monthly,159812,253939,155100,131180,103697,2005-06-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2005-07,536,monthly,158767,252584,153958,130351,102897,2005-07-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2005-08,526,monthly,157457,250576,152573,129425,101860,2005-08-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2005-09,480,monthly,156878,250356,151831,128843,101376,2005-09-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2005-10,497,monthly,158975,253429,153639,130683,103096,2005-10-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2005-11,543,monthly,158409,251930,153147,130332,102931,2005-11-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2005-12,595,monthly,158643,251356,153243,130728,103736,2005-12-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2006-01,419,monthly,157681,250250,152316,129988,102620,2006-01-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2006-02,502,monthly,159605,252812,154040,131710,104050,2006-02-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2006-03,579,monthly,160443,254802,154964,132286,103924,2006-03-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2006-04,528,monthly,160014,252926,154608,132203,103950,2006-04-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2006-05,553,monthly,161940,255831,156557,133834,105122,2006-05-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2006-06,689,monthly,163083,256612,157671,135053,106119,2006-06-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2006-07,691,monthly,166474,262329,160861,138025,107911,2006-07-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2006-08,633,monthly,167012,263603,161293,138720,107673,2006-08-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2006-09,586,monthly,169422,268453,163669,140602,108635,2006-09-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2006-10,574,monthly,170496,270292,164656,141345,109531,2006-10-01
Milton Keynes,http://landregistry.data.gov.uk/id/region/milton-keynes,E06000042,2006-11,639,monthly,171462,271793,165803,142039,110075,2006-11-01
