"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2004-01,200,monthly,116252,215615,126788,115858,89686,2004-01-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2004-02,201,monthly,116352,215019,126826,115955,90062,2004-02-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2004-03,308,monthly,116486,215762,126924,116159,90018,2004-03-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2004-04,281,monthly,120561,220673,131300,120714,93140,2004-04-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2004-05,241,monthly,122345,221935,133053,122853,94621,2004-05-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2004-06,298,monthly,124332,223721,135273,124951,96431,2004-06-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2004-07,309,monthly,125708,225718,137044,126290,97517,2004-07-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2004-08,269,monthly,128456,230985,140174,129052,99476,2004-08-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2004-09,215,monthly,129608,233724,141663,130174,100103,2004-09-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2004-10,228,monthly,127711,230541,139162,128213,98925,2004-10-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2004-11,173,monthly,128040,230814,139447,128435,99467,2004-11-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2004-12,247,monthly,127864,229117,138918,128253,99907,2004-12-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2005-01,148,monthly,128486,230187,139415,128995,100342,2005-01-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2005-02,132,monthly,127063,227238,138003,127639,99086,2005-02-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2005-03,171,monthly,127419,227945,138772,128004,99039,2005-03-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2005-04,213,monthly,128782,228849,140702,129459,99971,2005-04-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2005-05,250,monthly,130352,231408,142335,131002,101358,2005-05-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2005-06,287,monthly,131840,232664,143820,132793,102460,2005-06-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2005-07,279,monthly,133059,234989,145242,133948,103417,2005-07-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2005-08,324,monthly,133580,236009,145764,134654,103545,2005-08-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2005-09,285,monthly,134448,238099,146755,135482,104134,2005-09-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2005-10,234,monthly,132873,235141,144697,133911,103180,2005-10-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2005-11,266,monthly,132202,233387,144074,133136,102862,2005-11-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2005-12,313,monthly,132640,233137,144245,133537,103736,2005-12-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2006-01,215,monthly,133963,235365,145658,135167,104335,2006-01-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2006-02,213,monthly,135312,236858,146913,136630,105534,2006-02-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2006-03,283,monthly,134566,236496,146421,135942,104360,2006-03-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2006-04,259,monthly,135860,238283,147981,137158,105494,2006-04-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2006-05,286,monthly,138074,242337,150594,139348,107098,2006-05-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2006-06,367,monthly,140056,244609,152721,141510,108707,2006-06-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2006-07,273,monthly,143320,250058,156199,145084,110971,2006-07-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2006-08,311,monthly,145330,253602,158267,147535,112029,2006-08-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2006-09,327,monthly,147451,258368,160711,149641,113399,2006-09-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2006-10,341,monthly,148598,260686,161849,150798,114299,2006-10-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2006-11,323,monthly,151076,265308,164788,153194,116144,2006-11-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2006-12,376,monthly,154176,269391,167921,156533,118731,2006-12-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2007-01,252,monthly,155838,272336,169972,158146,119942,2007-01-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2007-02,238,monthly,156735,273369,170703,158802,121079,2007-02-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2007-03,297,monthly,156444,273687,170547,158616,120425,2007-03-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2007-04,273,monthly,156769,273383,170651,159294,120599,2007-04-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2007-05,430,monthly,158740,275699,172665,161650,122005,2007-05-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2007-06,401,monthly,161539,279897,175573,164640,124187,2007-06-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2007-07,329,monthly,164603,285755,179028,167761,126404,2007-07-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2007-08,321,monthly,164680,287812,179493,168312,125569,2007-08-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2007-09,235,monthly,166008,291007,181116,169668,126374,2007-09-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2007-10,287,monthly,166498,292538,181383,170092,126861,2007-10-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2007-11,233,monthly,165953,291736,180736,169163,126795,2007-11-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2007-12,220,monthly,161303,283596,175512,164342,123394,2007-12-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2008-01,163,monthly,156030,274998,169861,158651,119523,2008-01-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2008-02,164,monthly,155558,274416,169306,157876,119438,2008-02-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2008-03,131,monthly,156979,277796,171276,159332,120234,2008-03-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2008-04,208,monthly,158610,281117,173272,161391,120988,2008-04-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2008-05,177,monthly,156347,276672,171018,159397,118952,2008-05-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2008-06,156,monthly,154838,273333,169175,157992,117848,2008-06-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2008-07,136,monthly,152259,268170,166446,155307,115968,2008-07-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2008-08,126,monthly,148103,261015,161701,151245,112713,2008-08-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2008-09,121,monthly,142237,252821,155196,145227,108058,2008-09-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2008-10,118,monthly,138049,245716,150575,140920,104884,2008-10-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2008-11,91,monthly,133133,237176,145359,135801,101150,2008-11-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2008-12,79,monthly,131587,233160,143841,134442,99868,2008-12-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2009-01,77,monthly,128772,229136,140583,131324,97904,2009-01-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2009-02,73,monthly,127367,226907,138891,129482,97288,2009-02-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2009-03,95,monthly,125167,222851,136010,126815,96259,2009-03-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2009-04,134,monthly,123698,218785,134640,125493,95106,2009-04-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2009-05,127,monthly,126430,222994,137785,128798,96707,2009-05-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2009-06,171,monthly,128192,226409,140270,131133,97218,2009-06-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2009-07,224,monthly,130829,232079,143499,134369,98377,2009-07-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2009-08,220,monthly,131029,233480,143890,135005,97864,2009-08-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2009-09,183,monthly,133633,238595,146862,137874,99507,2009-09-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2009-10,227,monthly,135841,242859,149490,140118,101041,2009-10-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2009-11,183,monthly,138027,247411,151989,142607,102303,2009-11-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2009-12,269,monthly,138905,247933,153392,143806,102658,2009-12-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2010-01,97,monthly,139819,251403,154678,145457,102276,2010-01-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2010-02,111,monthly,142097,256183,157894,148079,103396,2010-02-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2010-03,143,monthly,142432,259072,158148,148370,103685,2010-03-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2010-04,159,monthly,141728,256716,157467,147387,103710,2010-04-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2010-05,163,monthly,139925,253662,155196,145296,102818,2010-05-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2010-06,162,monthly,140471,254072,155981,146240,102709,2010-06-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2010-07,187,monthly,141343,257017,157010,147412,102616,2010-07-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2010-08,171,monthly,141931,258703,158069,148196,102396,2010-08-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2010-09,136,monthly,142404,261362,158631,148553,102483,2010-09-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2010-10,180,monthly,140890,258487,156945,146793,101667,2010-10-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2010-11,127,monthly,141306,259969,157331,146941,102248,2010-11-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2010-12,130,monthly,139158,255374,155165,144532,100946,2010-12-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2011-01,111,monthly,139430,256499,155312,144646,101332,2011-01-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2011-02,100,monthly,140482,258437,156233,145890,102041,2011-02-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2011-03,140,monthly,139318,258159,154812,144455,101165,2011-03-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2011-04,159,monthly,139568,258439,155151,144753,101298,2011-04-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2011-05,142,monthly,137682,254109,153031,142660,100335,2011-05-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2011-06,167,monthly,139428,254962,155012,144806,101650,2011-06-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2011-07,157,monthly,139840,254760,155346,145298,102162,2011-07-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2011-08,183,monthly,140299,256434,156274,145977,101749,2011-08-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2011-09,158,monthly,139252,255777,155174,144927,100597,2011-09-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2011-10,149,monthly,139679,257897,156077,145270,100474,2011-10-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2011-11,153,monthly,138758,255739,154887,144160,100236,2011-11-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2011-12,166,monthly,142290,261677,159088,147629,103044,2011-12-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2012-01,121,monthly,141555,259469,158507,146936,102460,2012-01-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2012-02,108,monthly,142485,261135,159947,148008,102748,2012-02-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2012-03,122,monthly,140678,256578,158058,146260,101426,2012-03-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2012-04,121,monthly,142507,259859,159696,148184,102947,2012-04-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2012-05,138,monthly,143095,260507,160042,148903,103471,2012-05-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2012-06,163,monthly,144089,262195,160641,150400,103827,2012-06-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2012-07,171,monthly,145587,264575,162334,152255,104551,2012-07-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2012-08,179,monthly,147038,267141,164059,154076,105120,2012-08-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2012-09,137,monthly,147236,268428,164386,154241,105067,2012-09-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2012-10,185,monthly,148305,270366,165672,155309,105857,2012-10-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2012-11,174,monthly,146841,268124,164033,153637,104918,2012-11-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2012-12,147,monthly,148047,271046,165703,154683,105763,2012-12-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2013-01,137,monthly,144409,264789,162046,150900,102835,2013-01-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2013-02,116,monthly,143619,263348,161270,150140,102109,2013-02-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2013-03,165,monthly,142570,261889,160047,148935,101393,2013-03-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2013-04,141,monthly,145582,267307,163095,152144,103615,2013-04-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2013-05,194,monthly,149010,272893,166864,155762,106164,2013-05-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2013-06,162,monthly,150382,273926,168427,157578,106937,2013-06-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2013-07,215,monthly,151401,275294,169316,158863,107590,2013-07-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2013-08,197,monthly,150582,274173,168499,158040,106862,2013-08-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2013-09,207,monthly,150497,275440,168363,157800,106751,2013-09-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2013-10,210,monthly,152702,281179,171339,159777,108210,2013-10-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2013-11,193,monthly,153441,282981,172233,160575,108603,2013-11-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2013-12,225,monthly,159753,293032,179496,167168,113288,2013-12-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2014-01,190,monthly,158171,289489,177760,165367,112431,2014-01-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2014-02,173,monthly,159623,292473,179630,166550,113714,2014-02-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2014-03,166,monthly,155021,284812,174746,161473,110496,2014-03-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2014-04,194,monthly,157120,287986,177198,163746,111962,2014-04-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2014-05,250,monthly,159473,291256,179688,166475,113542,2014-05-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2014-06,210,monthly,162414,296440,183122,169778,115359,2014-06-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2014-07,217,monthly,165751,302662,186953,173478,117448,2014-07-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2014-08,235,monthly,168903,309215,190697,176859,119407,2014-08-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2014-09,211,monthly,169054,309711,190611,176982,119611,2014-09-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2014-10,229,monthly,167740,307735,189249,175422,118782,2014-10-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2014-11,177,monthly,167139,307007,188610,174570,118539,2014-11-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2014-12,245,monthly,168956,310655,190809,176177,120055,2014-12-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2015-01,167,monthly,169257,311087,191176,176357,120426,2015-01-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2015-02,137,monthly,167990,308254,189582,174716,120008,2015-02-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2015-03,165,monthly,165898,304951,187340,172442,118503,2015-03-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2015-04,158,monthly,167927,309020,189459,174691,119810,2015-04-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2015-05,209,monthly,171164,315112,193330,178101,121981,2015-05-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2015-06,198,monthly,176148,323981,199200,183713,125024,2015-06-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2015-07,274,monthly,175577,322458,198801,183076,124648,2015-07-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2015-08,223,monthly,175963,323623,199254,183874,124417,2015-08-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2015-09,205,monthly,176026,325224,199079,183715,124592,2015-09-01
Norwich,http://landregistry.data.gov.uk/id/region/norwich,E07000148,2015-10,209,monthly,176967,328092,200231,184740,125032,2015-10-01
