"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Reading,http://landregistry.data.gov.uk/id/region/reading,E06000038,2004-01,301,monthly,161621,324056,194840,152717,132167,2004-01-01
Reading,http://landregistry.data.gov.uk/id/region/reading,E06000038,2004-02,272,monthly,162420,324096,195395,153519,133217,2004-02-01
Reading,http://landregistry.data.gov.uk/id/region/reading,E06000038,2004-03,301,monthly,163496,326078,196356,154721,134029,2004-03-01
Reading,http://landregistry.data.gov.uk/id/region/reading,E06000038,2004-04,366,monthly,165431,326302,198580,157325,135310,2004-04-01
Reading,http://landregistry.data.gov.uk/id/region/reading,E06000038,2004-05,358,monthly,168691,329502,202202,161023,137912,2004-05-01
Reading,http://landregistry.data.gov.uk/id/region/reading,E06000038,2004-06,394,monthly,171737,332774,205779,164101,140577,2004-06-01
Reading,http://landregistry.data.gov.uk/id/region/reading,E06000038,2004-07,455,monthly,171989,333268,206483,164477,140427,2004-07-01
Reading,http://landregistry.data.gov.uk/id/region/reading,E06000038,2004-08,359,monthly,173271,336874,208291,165853,141053,2004-08-01
Reading,http://landregistry.data.gov.uk/id/region/reading,E06000038,2004-09,364,monthly,175890,343953,211930,168439,142605,2004-09-01
Reading,http://landregistry.data.gov.uk/id/region/reading,E06000038,2004-10,331,monthly,178279,347664,214047,170405,145388,2004-10-01
Reading,http://landregistry.data.gov.uk/id/region/reading,E06000038,2004-11,320,monthly,180141,350763,215977,171885,147430,2004-11-01
Reading,http://landregistry.data.gov.uk/id/region/reading,E06000038,2004-12,307,monthly,178645,345372,213518,170450,146870,2004-12-01
Reading,http://landregistry.data.gov.uk/id/region/reading,E06000038,2005-01,200,monthly,175400,338968,209156,167412,144434,2005-01-01
Reading,http://landregistry.data.gov.uk/id/region/reading,E06000038,2005-02,219,monthly,174893,337272,208654,166834,144163,2005-02-01
Reading,http://landregistry.data.gov.uk/id/region/reading,E06000038,2005-03,219,monthly,174755,337389,208850,166683,143833,2005-03-01
Reading,http://landregistry.data.gov.uk/id/region/reading,E06000038,2005-04,300,monthly,177526,340908,212680,169562,145761,2005-04-01
Reading,http://landregistry.data.gov.uk/id/region/reading,E06000038,2005-05,304,monthly,176268,338163,211002,168649,144525,2005-05-01
Reading,http://landregistry.data.gov.uk/id/region/reading,E06000038,2005-06,326,monthly,178691,341096,213720,171376,146376,2005-06-01
