"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2004-01,408,monthly,302973,606267,406675,313192,233381,2004-01-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2004-02,328,monthly,306591,614884,411779,316653,236219,2004-02-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2004-03,347,monthly,308336,619244,413546,319173,237166,2004-03-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2004-04,487,monthly,313674,624018,419847,326295,240878,2004-04-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2004-05,450,monthly,312684,612650,416673,326503,240421,2004-05-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2004-06,493,monthly,320264,623906,426742,334133,246645,2004-06-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2004-07,551,monthly,324732,633409,433752,338855,249716,2004-07-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2004-08,472,monthly,329563,648937,441452,343882,252736,2004-08-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2004-09,379,monthly,327566,649476,440271,341716,250581,2004-09-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2004-10,363,monthly,320810,634867,429229,333873,246499,2004-10-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2004-11,330,monthly,317197,625602,423687,329530,244394,2004-11-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2004-12,303,monthly,314102,615184,417766,326290,242773,2004-12-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2005-01,267,monthly,316809,620678,421133,330062,244335,2005-01-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2005-02,227,monthly,314194,618031,419220,327341,241693,2005-02-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2005-03,257,monthly,317435,625466,424161,331652,243392,2005-03-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2005-04,326,monthly,320604,629939,429177,335170,245569,2005-04-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2005-05,302,monthly,328421,641265,437654,344148,251921,2005-05-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2005-06,383,monthly,331299,644201,440821,348307,253809,2005-06-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2005-07,463,monthly,330099,643513,440121,347041,252519,2005-07-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2005-08,436,monthly,325284,636642,434092,342462,248262,2005-08-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2005-09,406,monthly,322138,635594,431473,338381,245523,2005-09-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2005-10,397,monthly,323562,637611,432220,339375,247316,2005-10-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2005-11,374,monthly,326104,640956,435925,341651,249506,2005-11-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2005-12,416,monthly,327478,638074,435744,343004,251581,2005-12-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,2006-01,365,monthly,330499,645790,440113,347350,252967,2006-01-01
