"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2004-01,779,monthly,94656,165391,100268,78046,74322,2004-01-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2004-02,721,monthly,94601,164774,100128,78142,74273,2004-02-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2004-03,750,monthly,95828,167149,101221,79236,74905,2004-03-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2004-04,839,monthly,97615,168394,103126,81161,76161,2004-04-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2004-05,829,monthly,103381,176497,109065,86377,80794,2004-05-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2004-06,1010,monthly,107678,182250,113591,90129,84479,2004-06-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2004-07,1110,monthly,112423,190036,118820,94206,87798,2004-07-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2004-08,952,monthly,114166,193501,120762,95710,88743,2004-08-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2004-09,824,monthly,117268,199577,124215,98394,90445,2004-09-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2004-10,889,monthly,116726,198761,123291,97882,90566,2004-10-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2004-11,764,monthly,116573,198238,123041,97675,90811,2004-11-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2004-12,891,monthly,115252,194801,121382,96698,90376,2004-12-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2005-01,676,monthly,115147,194466,120967,96686,90641,2005-01-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2005-02,592,monthly,115673,194944,121439,97090,91395,2005-02-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2005-03,642,monthly,114632,193291,120470,96147,90467,2005-03-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2005-04,703,monthly,115880,194267,122065,97325,91197,2005-04-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2005-05,766,monthly,116802,195452,122917,98308,91813,2005-05-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2005-06,964,monthly,119726,199065,125846,101133,94090,2005-06-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2005-07,1014,monthly,121402,201907,127663,102564,95276,2005-07-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2005-08,850,monthly,123423,205354,129734,104448,96559,2005-08-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2005-09,945,monthly,124704,208289,131075,105545,97231,2005-09-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2005-10,791,monthly,125197,209115,131323,106066,97805,2005-10-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2005-11,748,monthly,123485,205920,129626,104614,96451,2005-11-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2005-12,917,monthly,123925,205505,129846,105055,97465,2005-12-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2006-01,708,monthly,122987,203899,128774,104435,96531,2006-01-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2006-02,724,monthly,125506,207312,131186,106717,98854,2006-02-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2006-03,797,monthly,124946,207145,130880,106266,97655,2006-03-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2006-04,790,monthly,127677,210897,133868,108701,99702,2006-04-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2006-05,857,monthly,127971,211402,134370,108959,99622,2006-05-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2006-06,1032,monthly,129519,213106,135962,110474,100856,2006-06-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2006-07,966,monthly,131484,216399,137960,112366,102073,2006-07-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2006-08,1051,monthly,133683,220368,140258,114569,103081,2006-08-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2006-09,1021,monthly,135814,224662,142494,116352,104493,2006-09-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2006-10,947,monthly,136701,226512,143412,117016,105215,2006-10-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2006-11,990,monthly,137404,227759,144289,117522,105692,2006-11-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2006-12,952,monthly,136963,226095,143753,117361,105440,2006-12-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2007-01,766,monthly,136426,225183,143275,116950,104825,2007-01-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2007-02,712,monthly,135798,223862,142398,116294,104862,2007-02-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2007-03,789,monthly,136857,226217,143579,117247,105259,2007-03-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2007-04,796,monthly,138558,228292,145247,119017,106460,2007-04-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2007-05,1000,monthly,139939,229688,146628,120498,107420,2007-05-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2007-06,1028,monthly,142320,233269,148991,122669,109319,2007-06-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2007-07,1069,monthly,143516,235947,150229,123608,110191,2007-07-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2007-08,1088,monthly,144655,239116,151595,124825,110176,2007-08-01
Sheffield,http://landregistry.data.gov.uk/id/region/sheffield,E08000019,2007-09,848,monthly,144536,239907,151553,124667,109799,2007-09-01
