"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2004-01,395,monthly,135843,229299,158149,127499,109849,2004-01-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2004-02,428,monthly,138452,232580,160845,130087,112206,2004-02-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2004-03,385,monthly,139554,234738,161887,131245,113068,2004-03-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2004-04,537,monthly,139481,232187,161774,131920,112889,2004-04-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2004-05,494,monthly,141320,233105,163607,134272,114445,2004-05-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2004-06,520,monthly,141136,230728,163260,134415,114463,2004-06-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2004-07,581,monthly,142979,233729,165648,136363,115706,2004-07-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2004-08,491,monthly,143804,235537,166835,137262,116113,2004-08-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2004-09,443,monthly,147425,242672,171334,140866,118606,2004-09-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2004-10,371,monthly,148995,244989,172575,142026,120426,2004-10-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2004-11,315,monthly,149744,245752,173109,142589,121373,2004-11-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2004-12,347,monthly,148595,242333,171191,141549,120941,2004-12-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2005-01,251,monthly,146907,239129,168887,140142,119687,2005-01-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2005-02,287,monthly,146636,237773,168735,139962,119468,2005-02-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2005-03,301,monthly,146109,236678,168374,139593,118856,2005-03-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2005-04,344,monthly,148140,238467,171058,141839,120367,2005-04-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2005-05,355,monthly,147524,237517,169966,141518,119881,2005-05-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2005-06,393,monthly,147787,236742,170133,142265,120032,2005-06-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2005-07,423,monthly,148062,237583,170512,142728,120050,2005-07-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2005-08,485,monthly,149896,240847,172720,144842,121236,2005-08-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2005-09,402,monthly,149816,241662,172668,144746,121032,2005-09-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2005-10,415,monthly,147716,238067,169765,142595,119670,2005-10-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2005-11,402,monthly,147656,237237,169646,142480,119784,2005-11-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2005-12,459,monthly,147306,235154,168718,142120,119987,2005-12-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2006-01,329,monthly,149308,238451,171148,144375,121341,2006-01-01
Southampton,http://landregistry.data.gov.uk/id/region/southampton,E06000045,2006-02,367,monthly,146758,233350,167971,142081,119468,2006-02-01
