"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2004-01,389,monthly,84265,156927,86423,66819,63544,2004-01-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2004-02,377,monthly,84844,157388,86873,67409,64096,2004-02-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2004-03,493,monthly,84713,157231,86658,67358,63799,2004-03-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2004-04,600,monthly,87626,160275,89575,70083,65974,2004-04-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2004-05,542,monthly,92196,166446,94041,74143,69542,2004-05-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2004-06,597,monthly,98850,176995,100754,79675,74804,2004-06-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2004-07,673,monthly,100513,179105,102538,81134,75999,2004-07-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2004-08,521,monthly,102953,183352,105084,83163,77643,2004-08-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2004-09,480,monthly,104537,186188,106667,84560,78550,2004-09-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2004-10,474,monthly,106499,189953,108431,86106,80357,2004-10-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2004-11,418,monthly,107341,191356,109160,86805,81171,2004-11-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2004-12,431,monthly,107650,190969,109278,87164,81812,2004-12-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2005-01,257,monthly,107305,190650,108757,86957,81463,2005-01-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2005-02,286,monthly,106611,189653,108126,86376,80741,2005-02-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2005-03,343,monthly,106494,189922,108238,86251,80125,2005-03-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2005-04,387,monthly,108800,193159,110754,88227,81580,2005-04-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2005-05,408,monthly,109531,193939,111347,88957,82147,2005-05-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2005-06,457,monthly,109533,192023,111086,89320,82204,2005-06-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2005-07,538,monthly,111058,194355,112570,90661,83287,2005-07-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2005-08,454,monthly,114576,200244,115978,93700,85790,2005-08-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2005-09,450,monthly,117257,205480,118671,95923,87547,2005-09-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2005-10,443,monthly,116975,204807,118121,95818,87464,2005-10-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2005-11,369,monthly,114713,200479,115859,94026,85691,2005-11-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2005-12,443,monthly,112825,196277,113659,92542,84897,2005-12-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2006-01,312,monthly,112873,196531,113607,92668,84786,2006-01-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2006-02,305,monthly,114329,198480,114812,93976,86217,2006-02-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2006-03,498,monthly,115349,200936,116094,94791,86361,2006-03-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2006-04,406,monthly,115694,200271,116449,95230,86592,2006-04-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2006-05,451,monthly,116317,200980,117205,95770,86867,2006-05-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2006-06,526,monthly,118136,202851,118937,97444,88346,2006-06-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2006-07,475,monthly,121354,208322,122047,100278,90487,2006-07-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2006-08,492,monthly,122226,209812,122910,101154,90711,2006-08-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2006-09,537,monthly,122858,211754,123574,101671,90845,2006-09-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2006-10,455,monthly,121250,209413,121947,100215,89885,2006-10-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2006-11,449,monthly,122002,210678,122741,100822,90425,2006-11-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2006-12,516,monthly,123160,211546,123664,101950,91632,2006-12-01
Sunderland,http://landregistry.data.gov.uk/id/region/sunderland,E08000024,2007-01,327,monthly,123176,211374,123675,102078,91389,2007-01-01
