"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,2004-01,667,monthly,255331,647653,450188,311319,232802,2004-01-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,2004-02,578,monthly,257263,656606,454228,313775,234470,2004-02-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,2004-03,727,monthly,261677,667486,461517,319383,238419,2004-03-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,2004-04,820,monthly,264517,668620,466091,323928,240684,2004-04-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,2004-05,685,monthly,268249,665736,469922,328850,244159,2004-05-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,2004-06,851,monthly,273489,675739,478675,335160,249004,2004-06-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,2004-07,951,monthly,280547,695648,492639,344396,255138,2004-07-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,2004-08,793,monthly,284246,712848,501078,349292,258242,2004-08-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,2004-09,699,monthly,285033,721448,504646,351004,258554,2004-09-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,2004-10,643,monthly,280897,707111,493676,344444,255506,2004-10-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,2004-11,485,monthly,277104,694515,485250,339153,252382,2004-11-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,2004-12,506,monthly,271443,672911,471738,331308,247763,2004-12-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,2005-01,384,monthly,274508,680918,477559,335944,250223,2005-01-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,2005-02,397,monthly,278445,694477,487364,341398,253428,2005-02-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,2005-03,486,monthly,283375,707030,498150,348461,257448,2005-03-01
