"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2004-01,130,monthly,205082,390563,233678,195641,151064,2004-01-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2004-02,144,monthly,201603,382725,229334,192423,148802,2004-02-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2004-03,151,monthly,200151,380601,227195,191211,147387,2004-03-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2004-04,154,monthly,202499,380756,229537,194205,148989,2004-04-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2004-05,122,monthly,205274,382660,232427,197327,151128,2004-05-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2004-06,200,monthly,210962,390419,239031,202878,155593,2004-06-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2004-07,196,monthly,210051,388483,238470,201848,154860,2004-07-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2004-08,194,monthly,215634,400100,244984,207094,158789,2004-08-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2004-09,159,monthly,221340,412538,251962,212325,162670,2004-09-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2004-10,172,monthly,223318,416264,253493,214120,164788,2004-10-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2004-11,134,monthly,222646,414578,252593,213340,164673,2004-11-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2004-12,127,monthly,218030,403394,246613,209107,161990,2004-12-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2005-01,131,monthly,219263,405068,247375,210913,162540,2005-01-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2005-02,125,monthly,211196,389488,238446,203420,156176,2005-02-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2005-03,138,monthly,213647,394116,241291,206075,157479,2005-03-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2005-04,147,monthly,213925,392656,242072,206423,157690,2005-04-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2005-05,155,monthly,218717,400816,247001,211149,161540,2005-05-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2005-06,184,monthly,215581,393054,243232,208614,159159,2005-06-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2005-07,174,monthly,217541,397146,245959,210379,160338,2005-07-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2005-08,206,monthly,221082,404252,250021,214031,162485,2005-08-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2005-09,243,monthly,225654,414372,255586,218196,165557,2005-09-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2005-10,165,monthly,224499,412182,253738,217030,165132,2005-10-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2005-11,182,monthly,223009,408545,252303,215383,164327,2005-11-01
