"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2004-01,495,monthly,105184,199091,122706,91417,77536,2004-01-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2004-02,459,monthly,106763,201355,124283,92901,78784,2004-02-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2004-03,521,monthly,107975,203878,125455,94061,79421,2004-03-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2004-04,574,monthly,109324,203679,126770,95544,80301,2004-04-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2004-05,569,monthly,111584,205144,128935,97798,82230,2004-05-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2004-06,641,monthly,115178,209836,132920,101029,85315,2004-06-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2004-07,666,monthly,118143,214656,136429,103660,87452,2004-07-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2004-08,501,monthly,120532,219418,139273,105757,88991,2004-08-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2004-09,472,monthly,121791,222248,140798,106908,89496,2004-09-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2004-10,493,monthly,123417,225334,142386,108328,91053,2004-10-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2004-11,353,monthly,122881,224012,141572,107859,91001,2004-11-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2004-12,435,monthly,122944,222777,141234,108023,91541,2004-12-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2005-01,254,monthly,120999,219288,138679,106369,90282,2005-01-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2005-02,335,monthly,122113,221192,140109,107335,91033,2005-02-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2005-03,412,monthly,122125,221667,140348,107358,90595,2005-03-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2005-04,473,monthly,123493,222908,142147,108693,91215,2005-04-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2005-05,421,monthly,124925,225082,143494,110065,92299,2005-05-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2005-06,510,monthly,124009,221548,142131,109452,91729,2005-06-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2005-07,506,monthly,124852,222905,143036,110213,92395,2005-07-01
Coventry,http://landregistry.data.gov.uk/id/region/coventry,E08000026,2005-08,518,monthly,125549,223981,143654,110937,92768,2005-08-01
