"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2004-01,404,monthly,99322,176780,110423,85464,83937,2004-01-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2004-02,445,monthly,101755,180414,113037,87705,85780,2004-02-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2004-03,490,monthly,102157,180987,113261,88193,85844,2004-03-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2004-04,543,monthly,105538,184577,116824,91499,88562,2004-04-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2004-05,529,monthly,108389,187336,119508,94397,91240,2004-05-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2004-06,601,monthly,112186,192208,123561,97810,94971,2004-06-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2004-07,619,monthly,113908,194740,125608,99432,95854,2004-07-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2004-08,484,monthly,115858,198152,127881,101193,96994,2004-08-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2004-09,460,monthly,118124,202704,130556,103345,97648,2004-09-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2004-10,433,monthly,118884,204128,131243,103970,98688,2004-10-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2004-11,395,monthly,118661,203598,130986,103715,98788,2004-11-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2004-12,354,monthly,118499,202099,130605,103631,99338,2004-12-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2005-01,232,monthly,117243,199742,128850,102542,99112,2005-01-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2005-02,240,monthly,117798,200110,129421,102939,100159,2005-02-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2005-03,301,monthly,116127,197274,127687,101440,98605,2005-03-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2005-04,366,monthly,118283,199617,130260,103501,99781,2005-04-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2005-05,376,monthly,118735,200242,130537,104125,99880,2005-05-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2005-06,407,monthly,119755,200389,131314,105363,100854,2005-06-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2005-07,464,monthly,120625,201903,132186,106181,101559,2005-07-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2005-08,404,monthly,121998,204126,133593,107535,102437,2005-08-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2005-09,442,monthly,122312,205416,134077,107780,102201,2005-09-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2005-10,420,monthly,121165,203491,132672,106860,101254,2005-10-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2005-11,408,monthly,120383,201692,131943,106207,100345,2005-11-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2005-12,463,monthly,120835,201410,132120,106731,101398,2005-12-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2006-01,315,monthly,121129,201681,132249,107161,101556,2006-01-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2006-02,395,monthly,121305,201431,132150,107426,102124,2006-02-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2006-03,458,monthly,120257,200526,131260,106501,100374,2006-03-01
Leicester,http://landregistry.data.gov.uk/id/region/leicester,E06000016,2006-04,406,monthly,121591,202027,132731,107775,101399,2006-04-01
