"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-01,862,monthly,78712,137102,91864,68011,78724,2004-01-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-02,888,monthly,77705,134725,90531,67238,77631,2004-02-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-03,1194,monthly,77111,133931,89621,66743,76922,2004-03-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-04,1285,monthly,78662,134767,91267,68360,78271,2004-04-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-05,1033,monthly,82566,139771,95393,72116,81978,2004-05-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-06,1252,monthly,86415,144918,99734,75642,85707,2004-06-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-07,1241,monthly,90834,152076,105136,79775,89507,2004-07-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-08,1165,monthly,93824,157362,108816,82530,92087,2004-08-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-09,1055,monthly,96240,161909,111872,84965,93775,2004-09-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-10,979,monthly,95370,160462,110418,84054,93435,2004-10-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-11,1018,monthly,95369,160003,110178,84059,93616,2004-11-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-12,966,monthly,94943,158238,109340,83636,93575,2004-12-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2005-01,766,monthly,93079,154844,106818,81970,92046,2005-01-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2005-02,695,monthly,93156,154816,106963,81929,92284,2005-02-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2005-03,868,monthly,93972,156382,107953,82599,93136,2005-03-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2005-04,953,monthly,96994,160818,111628,85446,95819,2005-04-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2005-05,917,monthly,100861,167342,115945,89079,99439,2005-05-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2005-06,980,monthly,104824,172443,120210,92999,103088,2005-06-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2005-07,939,monthly,109262,179692,125564,97183,107020,2005-07-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2005-08,960,monthly,111767,183850,128451,99728,109094,2005-08-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2005-09,1124,monthly,111799,184734,128815,99972,108651,2005-09-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2005-10,937,monthly,112531,185840,129266,100736,109455,2005-10-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2005-11,834,monthly,112591,185558,129396,100867,109412,2005-11-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2005-12,1116,monthly,114236,187092,130713,102299,111436,2005-12-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2006-01,758,monthly,115012,188373,131460,103133,112110,2006-01-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2006-02,835,monthly,116625,190209,132821,104511,114040,2006-02-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2006-03,1187,monthly,116567,191423,133230,104625,113478,2006-03-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2006-04,1022,monthly,117816,192919,134686,105876,114575,2006-04-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2006-05,1054,monthly,119018,194981,136336,107108,115443,2006-05-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2006-06,1364,monthly,121620,198086,139296,109664,117822,2006-06-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2006-07,1128,monthly,123448,200928,141538,111708,119138,2006-07-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2006-08,1072,monthly,124674,202989,143193,113254,119762,2006-08-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2006-09,1155,monthly,127848,208843,146959,116147,122707,2006-09-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2006-10,1124,monthly,128802,210740,148081,116895,123707,2006-10-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2006-11,1231,monthly,130572,213829,150244,118538,125297,2006-11-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2006-12,1373,monthly,129927,211971,149330,118237,124531,2006-12-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2007-01,895,monthly,129773,211615,149228,118276,124175,2007-01-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2007-02,979,monthly,132008,214907,151543,120087,126699,2007-02-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2007-03,1093,monthly,129663,211521,149023,118110,124181,2007-03-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2007-04,995,monthly,131606,213976,151063,120139,125912,2007-04-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2007-05,1037,monthly,130931,211956,149989,119833,125146,2007-05-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2007-06,1296,monthly,135883,219615,155503,124503,129837,2007-06-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2007-07,1094,monthly,138641,224393,158650,126985,132509,2007-07-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2007-08,1129,monthly,140431,228555,161198,129049,133477,2007-08-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2007-09,965,monthly,139906,228283,160842,128576,132816,2007-09-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2007-10,899,monthly,137060,224212,157416,125902,130222,2007-10-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2007-11,1020,monthly,136238,223336,156543,124856,129674,2007-11-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2007-12,798,monthly,138012,226243,158361,126351,131606,2007-12-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2008-01,623,monthly,139138,228416,159678,127402,132630,2008-01-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2008-02,627,monthly,138442,227607,158695,126695,132113,2008-02-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2008-03,576,monthly,134277,222001,154264,122857,127909,2008-03-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2008-04,565,monthly,133220,221010,153192,122058,126596,2008-04-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2008-05,494,monthly,132518,219049,152430,121466,125885,2008-05-01
