"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2004-01,407,monthly,94837,127632,100277,76266,87241,2004-01-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2004-02,482,monthly,95367,127588,100738,76963,87430,2004-02-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2004-03,512,monthly,97557,130417,102882,78851,89185,2004-03-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2004-04,662,monthly,99579,131599,104997,80846,90899,2004-04-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2004-05,578,monthly,100291,131172,105511,81816,91600,2004-05-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2004-06,609,monthly,102492,132721,107819,83797,93774,2004-06-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2004-07,715,monthly,105008,135804,110697,86054,95410,2004-07-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2004-08,576,monthly,107929,139782,113948,88534,97554,2004-08-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2004-09,495,monthly,109732,142749,116094,90217,98134,2004-09-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2004-10,445,monthly,111499,145051,117669,91628,100204,2004-10-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2004-11,384,monthly,111451,144684,117478,91640,100372,2004-11-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2004-12,442,monthly,111449,143691,117199,91750,100931,2004-12-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2005-01,284,monthly,110268,141691,115600,90835,100441,2005-01-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2005-02,286,monthly,111215,142271,116640,91556,101639,2005-02-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2005-03,324,monthly,110887,141707,116565,91365,100943,2005-03-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2005-04,374,monthly,109129,138596,115221,90192,98549,2005-04-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2005-05,353,monthly,108666,137905,114719,90066,97717,2005-05-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2005-06,471,monthly,109663,138126,115586,91216,98639,2005-06-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2005-07,495,monthly,111422,140267,117397,92756,100163,2005-07-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2005-08,460,monthly,112415,141492,118447,93780,100709,2005-08-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2005-09,471,monthly,111932,141499,118067,93486,99713,2005-09-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2005-10,472,monthly,114573,144961,120711,95841,101931,2005-10-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2005-11,389,monthly,114564,144713,120862,95968,101581,2005-11-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2005-12,550,monthly,118075,148145,124284,98981,105265,2005-12-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2006-01,355,monthly,114328,143131,120180,95928,102071,2006-01-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2006-02,394,monthly,112752,140441,118256,94617,101209,2006-02-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2006-03,482,monthly,108898,136253,114531,91434,97107,2006-03-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2006-04,433,monthly,112267,139935,118273,94397,99881,2006-04-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2006-05,430,monthly,113531,141595,119756,95502,100741,2006-05-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2006-06,602,monthly,115129,142868,121457,97024,102126,2006-06-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2006-07,557,monthly,115157,142843,121393,97291,101900,2006-07-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2006-08,617,monthly,117734,146168,124200,99830,103485,2006-08-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2006-09,536,monthly,119010,148129,125443,100811,104736,2006-09-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2006-10,470,monthly,118324,147735,124820,100146,103992,2006-10-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2006-11,527,monthly,116096,145085,122617,98233,101874,2006-11-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2006-12,485,monthly,115535,143961,122069,97995,101122,2006-12-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2007-01,383,monthly,116006,144302,122656,98547,101295,2007-01-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2007-02,457,monthly,118440,147055,125090,100473,104012,2007-02-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2007-03,482,monthly,117295,145805,123959,99596,102717,2007-03-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2007-04,453,monthly,115950,143713,122356,98616,101647,2007-04-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2007-05,519,monthly,114307,141043,120502,97523,100030,2007-05-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2007-06,573,monthly,114595,141145,120698,97883,100315,2007-06-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2007-07,525,monthly,116140,143223,122340,99190,101600,2007-07-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2007-08,666,monthly,116906,144812,123234,99971,101627,2007-08-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2007-09,560,monthly,117287,145756,123736,100271,101673,2007-09-01
Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2007-10,485,monthly,116877,145776,123166,99877,101389,2007-10-01
